Resp. Origem;Resp. Destino;Rota;Coleta;Entrega;Terminais;Fixo das Unidades;Redespacho Coleta/Redespacho Entrega;Transferencias;Vazios;Custo Matriz;Total
BEL;JOI;BEL_JOI;9,11%;5,98%;47,40%;0,00%;0,00%;12,23%;6,27%;19,00%;100,00%
FES;JPA;FES_JPA;7,33%;13,93%;23,21%;23,16%;0,00%;6,68%;6,68%;19,00%;100,00%
FES;JPA;ITN_JPA;0,00%;7,06%;11,76%;8,15%;40,56%;3,39%;10,09%;19,00%;100,00%
FES;JPA;VDC_JPA;0,00%;6,35%;10,57%;7,33%;43,66%;3,04%;10,05%;19,00%;100,00%
SSA;JPA;SSA_JPA;10,46%;6,82%;26,03%;27,32%;0,00%;5,28%;5,10%;19,00%;100,00%
AJU;JPA;AJU_JPA;16,12%;7,67%;19,53%;25,39%;0,00%;8,61%;3,68%;19,00%;100,00%
REC;JPA;PNZ_JPA;0,00%;5,26%;17,73%;8,74%;38,24%;8,51%;2,52%;19,00%;100,00%
MCZ;JPA;MCZ_JPA;9,57%;7,97%;23,70%;25,91%;0,00%;10,02%;3,83%;19,00%;100,00%
REC;JPA;CAU_JPA;0,00%;5,56%;18,75%;9,24%;35,77%;9,00%;2,67%;19,00%;100,00%
REC;JPA;REC_JPA;10,80%;7,05%;23,79%;24,54%;0,00%;11,42%;3,39%;19,00%;100,00%
VIX;JPA;VIX_JPA;5,29%;7,88%;23,24%;17,22%;0,00%;14,17%;13,20%;19,00%;100,00%
FOR;JPA;THE_JPA;0,00%;5,07%;16,93%;8,43%;38,60%;9,53%;2,43%;19,00%;100,00%
BHZ;JPA;BHZ_JPA;6,43%;6,48%;24,33%;17,96%;0,00%;13,56%;12,24%;19,00%;100,00%
BSB;JPA;BSB_JPA;8,27%;6,72%;20,51%;17,99%;0,00%;14,27%;13,24%;19,00%;100,00%
BSB;JPA;PMW_JPA;0,00%;4,42%;13,49%;7,35%;35,30%;9,38%;11,05%;19,00%;100,00%
RIO;JPA;CAW_JPA;0,00%;5,10%;17,08%;8,47%;24,91%;11,83%;13,62%;19,00%;100,00%
BHZ;JPA;DIV_JPA;0,00%;6,18%;23,22%;10,28%;11,37%;12,94%;17,01%;19,00%;100,00%
BHZ;JPA;JDF_JPA;0,00%;4,91%;18,45%;8,17%;25,26%;10,28%;13,93%;19,00%;100,00%
GYN;JPA;GYN_JPA;8,64%;6,82%;21,09%;12,91%;0,00%;16,38%;15,16%;19,00%;100,00%
RIO;JPA;RIO_JPA;11,38%;6,11%;20,49%;15,67%;0,00%;14,19%;13,14%;19,00%;100,00%
BHZ;JPA;PSA_JPA;0,00%;4,73%;17,77%;7,87%;36,96%;9,90%;3,77%;19,00%;100,00%
CPQ;JPA;SJK_JPA;0,00%;4,52%;15,05%;7,52%;24,33%;14,95%;14,63%;19,00%;100,00%
CPQ;JPA;CPQ_JPA;7,22%;5,00%;16,62%;19,15%;0,00%;16,51%;16,51%;19,00%;100,00%
SAO;JPA;SAO_JPA;5,14%;5,47%;22,26%;11,57%;0,00%;18,28%;18,28%;19,00%;100,00%
SAO;JPA;SSZ_JPA;0,00%;3,97%;16,17%;6,61%;27,60%;13,28%;13,37%;19,00%;100,00%
CPQ;JPA;SOD_JPA;0,00%;4,79%;15,93%;7,96%;20,00%;15,82%;16,49%;19,00%;100,00%
BAU;JPA;BAU_JPA;7,57%;4,05%;24,36%;13,71%;0,00%;16,07%;15,24%;19,00%;100,00%
RAO;JPA;RAO_JPA;6,98%;4,46%;23,47%;13,99%;0,00%;17,20%;14,90%;19,00%;100,00%
CWB;JPA;CWB_JPA;5,05%;4,31%;22,62%;17,49%;0,00%;17,12%;14,42%;19,00%;100,00%
JOI;JPA;JOI_JPA;3,76%;4,67%;24,92%;13,29%;0,00%;18,76%;15,60%;19,00%;100,00%
BSB;JPA;CGB_JPA;34,61%;2,80%;9,31%;10,73%;0,00%;14,30%;9,25%;19,00%;100,00%
BSB;JPA;CGR_JPA;33,33%;3,12%;12,70%;6,60%;0,00%;14,82%;10,43%;19,00%;100,00%
SJP;JPA;SJP_JPA;3,68%;3,68%;33,84%;12,15%;0,00%;15,36%;12,29%;19,00%;100,00%
ITJ;JPA;ITJ_JPA;0,00%;4,86%;25,94%;10,28%;4,16%;19,53%;16,24%;19,00%;100,00%
BNU;JPA;BNU_JPA;3,50%;4,89%;27,32%;12,59%;0,00%;16,35%;16,35%;19,00%;100,00%
LDB;JPA;LDB_JPA;4,76%;4,51%;23,18%;12,03%;0,00%;18,42%;18,10%;19,00%;100,00%
FLN;JPA;FLN_JPA;3,69%;4,35%;25,72%;14,04%;0,00%;18,67%;14,54%;19,00%;100,00%
SJP;JPA;PPB_JPA;0,00%;3,24%;29,82%;6,85%;14,24%;13,53%;13,31%;19,00%;100,00%
UDI;JPA;UDI_JPA;3,71%;4,76%;27,40%;13,35%;0,00%;15,89%;15,89%;19,00%;100,00%
MGF;JPA;MGF_JPA;3,24%;4,48%;24,31%;14,64%;0,00%;19,37%;14,96%;19,00%;100,00%
BEL;JPA;BEL_JPA;5,73%;4,67%;20,51%;22,87%;0,00%;17,27%;9,94%;19,00%;100,00%
FLN;JPA;LAJ_JPA;0,00%;3,70%;21,85%;7,82%;19,42%;15,86%;12,35%;19,00%;100,00%
FLN;JPA;CCM_JPA;0,00%;3,43%;20,30%;7,26%;23,78%;14,74%;11,48%;19,00%;100,00%
LDB;JPA;CAC_JPA;0,00%;3,83%;19,69%;8,09%;16,64%;15,64%;17,11%;19,00%;100,00%
FLN;JPA;XAP_JPA;0,00%;3,74%;22,12%;7,91%;18,66%;16,06%;12,50%;19,00%;100,00%
CXJ;JPA;CXJ_JPA;6,52%;4,63%;19,68%;13,33%;0,00%;21,36%;15,47%;19,00%;100,00%
POA;JPA;POA_JPA;3,49%;4,20%;24,90%;14,52%;0,00%;19,85%;14,04%;19,00%;100,00%
JPA;JPA;JPA_JPA;43,99%;0,00%;37,01%;0,00%;0,00%;0,00%;0,00%;19,00%;100,00%
NAT;JPA;NAT_JPA;13,49%;10,43%;32,71%;0,00%;0,00%;19,37%;5,00%;19,00%;100,00%
FOR;JPA;FOR_JPA;13,78%;10,04%;33,50%;0,00%;0,00%;18,86%;4,82%;19,00%;100,00%
FOR;JPA;IMP_JPA;0,00%;5,62%;18,74%;0,00%;43,39%;10,55%;2,69%;19,00%;100,00%
FOR;JPA;SLZ_JPA;0,00%;5,81%;19,38%;0,00%;42,12%;10,91%;2,79%;19,00%;100,00%
FLN;FLN;LAJ_LAJ;0,00%;0,00%;21,02%;0,00%;59,98%;0,00%;0,00%;19,00%;100,00%
ITJ;FLN;ITJ_LAJ;0,00%;50,73%;12,25%;0,00%;8,27%;6,18%;3,57%;19,00%;100,00%
JOI;FLN;JOI_LAJ;7,10%;46,28%;11,18%;6,45%;0,00%;5,64%;4,36%;19,00%;100,00%
BNU;FLN;BNU_LAJ;6,67%;48,96%;14,11%;4,27%;0,00%;3,72%;3,28%;19,00%;100,00%
CWB;FLN;CWB_LAJ;8,97%;40,29%;8,99%;14,85%;0,00%;4,05%;3,85%;19,00%;100,00%
FLN;FLN;CCM_LAJ;0,00%;29,42%;10,31%;0,00%;38,76%;0,00%;2,51%;19,00%;100,00%
FLN;FLN;FLN_LAJ;7,28%;45,15%;15,83%;9,55%;0,00%;0,00%;3,19%;19,00%;100,00%
FLN;FLN;XAP_LAJ;0,00%;33,90%;11,88%;0,00%;32,18%;0,00%;3,03%;19,00%;100,00%
CPQ;FLN;SOD_LAJ;0,00%;27,45%;21,22%;2,36%;21,81%;7,86%;0,30%;19,00%;100,00%
SAO;FLN;SSZ_LAJ;0,00%;27,20%;12,44%;0,00%;35,95%;5,41%;0,00%;19,00%;100,00%
SAO;FLN;SAO_LAJ;7,53%;42,17%;19,28%;3,63%;0,00%;8,39%;0,00%;19,00%;100,00%
LDB;FLN;LDB_LAJ;6,48%;32,21%;13,78%;15,28%;0,00%;6,88%;6,38%;19,00%;100,00%
CPQ;FLN;CPQ_LAJ;7,73%;28,10%;21,73%;14,03%;0,00%;8,05%;1,36%;19,00%;100,00%
CPQ;FLN;SJK_LAJ;0,00%;25,07%;19,38%;2,16%;25,65%;7,18%;1,56%;19,00%;100,00%
POA;FLN;POA_LAJ;4,86%;30,73%;18,28%;12,12%;0,00%;8,14%;6,88%;19,00%;100,00%
MGF;FLN;MGF_LAJ;3,68%;26,76%;18,37%;18,58%;0,00%;7,08%;6,54%;19,00%;100,00%
LDB;FLN;CAC_LAJ;0,00%;26,32%;11,26%;9,70%;21,78%;5,62%;6,31%;19,00%;100,00%
BHZ;FLN;PSA_LAJ;0,00%;20,94%;17,90%;1,80%;31,12%;8,37%;0,87%;19,00%;100,00%
CXJ;FLN;CXJ_LAJ;7,11%;26,56%;16,72%;14,33%;0,00%;8,76%;7,51%;19,00%;100,00%
RAO;FLN;RAO_LAJ;9,42%;31,64%;21,65%;8,88%;0,00%;9,40%;0,00%;19,00%;100,00%
BAU;FLN;BAU_LAJ;9,90%;27,88%;23,04%;9,11%;0,00%;8,85%;2,22%;19,00%;100,00%
SJP;FLN;SJP_LAJ;4,68%;24,58%;35,25%;7,68%;0,00%;8,80%;0,00%;19,00%;100,00%
SJP;FLN;PPB_LAJ;0,00%;20,98%;30,09%;1,81%;17,55%;7,51%;3,06%;19,00%;100,00%
RIO;FLN;RIO_LAJ;11,57%;32,67%;25,41%;0,00%;0,00%;11,35%;0,00%;19,00%;100,00%
BHZ;FLN;JDF_LAJ;0,00%;25,06%;21,42%;0,00%;24,51%;10,01%;0,00%;19,00%;100,00%
BHZ;FLN;DIV_LAJ;0,00%;31,11%;26,59%;0,00%;10,88%;12,43%;0,00%;19,00%;100,00%
BHZ;FLN;BHZ_LAJ;6,26%;33,16%;28,34%;0,00%;0,00%;13,25%;0,00%;19,00%;100,00%
UDI;FLN;UDI_LAJ;5,65%;38,09%;29,68%;0,00%;0,00%;7,58%;0,00%;19,00%;100,00%
RIO;FLN;CAW_LAJ;0,00%;26,51%;20,62%;0,00%;24,66%;9,21%;0,00%;19,00%;100,00%
VIX;FLN;VIX_LAJ;4,23%;33,11%;23,22%;6,14%;0,00%;14,29%;0,00%;19,00%;100,00%
GYN;FLN;GYN_LAJ;7,99%;33,11%;24,13%;0,00%;0,00%;15,77%;0,00%;19,00%;100,00%
BSB;FLN;BSB_LAJ;6,69%;28,60%;28,37%;0,00%;0,00%;16,04%;1,31%;19,00%;100,00%
FES;FLN;VDC_LAJ;0,00%;22,84%;14,03%;0,00%;29,90%;14,23%;0,00%;19,00%;100,00%
FES;FLN;ITN_LAJ;0,00%;24,32%;14,94%;0,00%;26,59%;15,15%;0,00%;19,00%;100,00%
SSA;FLN;SSA_LAJ;8,48%;29,07%;25,18%;0,00%;0,00%;18,27%;0,00%;19,00%;100,00%
FES;FLN;FES_LAJ;3,47%;34,66%;21,28%;0,00%;0,00%;21,59%;0,00%;19,00%;100,00%
BSB;FLN;CGR_LAJ;41,61%;20,48%;9,36%;0,00%;0,00%;9,55%;0,00%;19,00%;100,00%
BSB;FLN;PMW_LAJ;0,00%;18,89%;18,74%;0,00%;28,70%;10,59%;4,08%;19,00%;100,00%
BSB;FLN;CGB_LAJ;39,66%;16,86%;13,04%;0,00%;0,00%;10,62%;0,82%;19,00%;100,00%
REC;FLN;PNZ_LAJ;0,00%;20,31%;15,89%;0,00%;28,12%;16,68%;0,00%;19,00%;100,00%
AJU;FLN;AJU_LAJ;11,07%;27,67%;21,64%;0,00%;0,00%;20,62%;0,00%;19,00%;100,00%
MCZ;FLN;MCZ_LAJ;6,46%;28,30%;24,42%;0,00%;0,00%;21,81%;0,00%;19,00%;100,00%
FOR;FLN;IMP_LAJ;0,00%;19,68%;15,26%;0,00%;28,95%;17,11%;0,00%;19,00%;100,00%
REC;FLN;CAU_LAJ;0,00%;21,16%;16,55%;0,00%;25,91%;17,38%;0,00%;19,00%;100,00%
FOR;FLN;THE_LAJ;0,00%;19,79%;15,35%;0,00%;28,66%;17,20%;0,00%;19,00%;100,00%
REC;FLN;REC_LAJ;8,15%;27,98%;21,88%;0,00%;0,00%;22,98%;0,00%;19,00%;100,00%
JPA;FLN;JPA_LAJ;5,47%;28,74%;22,25%;0,00%;0,00%;24,54%;0,00%;19,00%;100,00%
NAT;FLN;NAT_LAJ;6,59%;26,77%;23,94%;0,00%;0,00%;23,70%;0,00%;19,00%;100,00%
FOR;FLN;SLZ_LAJ;0,00%;20,12%;15,60%;0,00%;27,78%;17,49%;0,00%;19,00%;100,00%
FOR;FLN;FOR_LAJ;7,28%;27,88%;21,62%;0,00%;0,00%;24,23%;0,00%;19,00%;100,00%
BEL;FLN;BEL_LAJ;7,23%;30,95%;30,14%;0,00%;0,00%;11,18%;1,50%;19,00%;100,00%
LDB;LDB;LDB_LDB;31,85%;0,00%;32,40%;16,74%;0,00%;0,00%;0,00%;19,00%;100,00%
MGF;LDB;MGF_LDB;9,10%;13,31%;30,65%;21,52%;0,00%;3,37%;3,06%;19,00%;100,00%
CWB;LDB;CWB_LDB;11,70%;10,57%;22,48%;24,93%;0,00%;5,94%;5,38%;19,00%;100,00%
JOI;LDB;JOI_LDB;6,19%;8,12%;27,02%;24,78%;0,00%;8,44%;6,45%;19,00%;100,00%
SAO;LDB;SAO_LDB;9,31%;10,49%;34,50%;10,00%;0,00%;9,36%;7,34%;19,00%;100,00%
SAO;LDB;SSZ_LDB;0,00%;6,19%;20,36%;3,25%;40,65%;5,53%;5,02%;19,00%;100,00%
BNU;LDB;BNU_LDB;4,55%;6,72%;31,98%;23,42%;0,00%;8,04%;6,29%;19,00%;100,00%
ITJ;LDB;ITJ_LDB;0,00%;8,96%;29,80%;21,12%;7,25%;9,31%;4,56%;19,00%;100,00%
CPQ;LDB;SJK_LDB;0,00%;5,69%;27,65%;5,43%;28,93%;7,55%;5,74%;19,00%;100,00%
CPQ;LDB;SOD_LDB;0,00%;6,31%;30,65%;6,01%;24,90%;8,37%;4,75%;19,00%;100,00%
CPQ;LDB;CPQ_LDB;8,86%;6,48%;31,49%;19,48%;0,00%;8,60%;6,10%;19,00%;100,00%
FLN;LDB;FLN_LDB;4,86%;6,06%;30,70%;24,85%;0,00%;8,09%;6,44%;19,00%;100,00%
LDB;LDB;CAC_LDB;0,00%;12,12%;12,33%;0,00%;49,86%;0,00%;6,68%;19,00%;100,00%
FLN;LDB;LAJ_LDB;0,00%;4,85%;24,60%;14,81%;24,12%;6,48%;6,12%;19,00%;100,00%
BHZ;LDB;PSA_LDB;0,00%;4,66%;24,51%;4,44%;34,38%;8,80%;4,22%;19,00%;100,00%
FLN;LDB;CCM_LDB;0,00%;4,43%;22,43%;13,50%;28,98%;5,91%;5,75%;19,00%;100,00%
RAO;LDB;RAO_LDB;11,00%;7,43%;32,83%;14,27%;0,00%;10,26%;5,20%;19,00%;100,00%
BAU;LDB;BAU_LDB;11,33%;6,42%;32,90%;13,81%;0,00%;9,51%;7,03%;19,00%;100,00%
FLN;LDB;XAP_LDB;0,00%;4,86%;24,60%;14,81%;22,90%;6,48%;7,35%;19,00%;100,00%
POA;LDB;POA_LDB;4,43%;5,64%;28,64%;24,33%;0,00%;9,86%;8,10%;19,00%;100,00%
SJP;LDB;SJP_LDB;5,26%;5,57%;45,33%;11,57%;0,00%;9,37%;3,89%;19,00%;100,00%
CXJ;LDB;CXJ_LDB;6,56%;4,93%;25,90%;24,84%;0,00%;10,22%;8,54%;19,00%;100,00%
SJP;LDB;PPB_LDB;0,00%;4,67%;37,99%;4,45%;19,39%;7,85%;6,65%;19,00%;100,00%
RIO;LDB;RIO_LDB;14,29%;8,12%;39,66%;0,00%;0,00%;13,24%;5,68%;19,00%;100,00%
BHZ;LDB;JDF_LDB;0,00%;5,91%;31,09%;0,00%;28,71%;11,16%;4,13%;19,00%;100,00%
BHZ;LDB;DIV_LDB;0,00%;7,65%;40,26%;0,00%;13,29%;14,45%;5,35%;19,00%;100,00%
BHZ;LDB;BHZ_LDB;7,76%;8,27%;43,55%;0,00%;0,00%;15,63%;5,79%;19,00%;100,00%
UDI;LDB;UDI_LDB;7,26%;9,86%;48,18%;0,00%;0,00%;8,80%;6,90%;19,00%;100,00%
RIO;LDB;CAW_LDB;0,00%;6,31%;30,81%;0,00%;29,17%;10,29%;4,42%;19,00%;100,00%
VIX;LDB;VIX_LDB;4,98%;7,84%;35,29%;11,35%;0,00%;16,06%;5,48%;19,00%;100,00%
GYN;LDB;GYN_LDB;9,90%;8,26%;38,31%;0,00%;0,00%;18,75%;5,78%;19,00%;100,00%
BSB;LDB;BSB_LDB;8,03%;6,91%;41,07%;0,00%;0,00%;18,59%;6,40%;19,00%;100,00%
FES;LDB;VDC_LDB;0,00%;5,30%;21,58%;0,00%;34,50%;15,91%;3,71%;19,00%;100,00%
FES;LDB;ITN_LDB;0,00%;5,70%;23,21%;0,00%;30,99%;17,11%;3,99%;19,00%;100,00%
SSA;LDB;SSA_LDB;10,21%;7,04%;37,49%;0,00%;0,00%;21,33%;4,93%;19,00%;100,00%
FES;LDB;FES_LDB;4,35%;8,74%;35,57%;0,00%;0,00%;26,22%;6,12%;19,00%;100,00%
BSB;LDB;CGR_LDB;47,25%;4,68%;15,39%;0,00%;0,00%;10,40%;3,27%;19,00%;100,00%
BSB;LDB;PMW_LDB;0,00%;4,27%;25,41%;0,00%;32,25%;11,50%;7,57%;19,00%;100,00%
BSB;LDB;CGB_LDB;43,99%;3,76%;18,29%;0,00%;0,00%;11,42%;3,54%;19,00%;100,00%
REC;LDB;PNZ_LDB;0,00%;4,64%;22,74%;0,00%;31,90%;18,48%;3,24%;19,00%;100,00%
AJU;LDB;AJU_LDB;13,20%;6,64%;32,56%;0,00%;0,00%;23,96%;4,65%;19,00%;100,00%
MCZ;LDB;MCZ_LDB;7,74%;6,82%;36,19%;0,00%;0,00%;25,47%;4,77%;19,00%;100,00%
FOR;LDB;IMP_LDB;0,00%;4,48%;21,80%;0,00%;32,70%;18,90%;3,13%;19,00%;100,00%
REC;LDB;CAU_LDB;0,00%;4,86%;23,82%;0,00%;29,56%;19,36%;3,40%;19,00%;100,00%
FOR;LDB;THE_LDB;0,00%;4,50%;21,93%;0,00%;32,40%;19,01%;3,15%;19,00%;100,00%
REC;LDB;REC_LDB;9,74%;6,73%;33,00%;0,00%;0,00%;26,82%;4,71%;19,00%;100,00%
JPA;LDB;JPA_LDB;6,57%;6,95%;33,80%;0,00%;0,00%;28,81%;4,86%;19,00%;100,00%
NAT;LDB;NAT_LDB;7,81%;6,38%;34,86%;0,00%;0,00%;27,47%;4,47%;19,00%;100,00%
FOR;LDB;SLZ_LDB;0,00%;4,59%;22,35%;0,00%;31,48%;19,38%;3,21%;19,00%;100,00%
FOR;LDB;FOR_LDB;8,70%;6,70%;32,63%;0,00%;0,00%;28,29%;4,69%;19,00%;100,00%
BEL;LDB;BEL_LDB;8,82%;7,60%;44,51%;0,00%;0,00%;12,92%;7,15%;19,00%;100,00%
MCZ;MCZ;MCZ_MCZ;23,75%;0,00%;25,84%;31,40%;0,00%;0,00%;0,00%;19,00%;100,00%
AJU;MCZ;AJU_MCZ;17,62%;10,06%;18,33%;27,12%;0,00%;3,93%;3,93%;19,00%;100,00%
FES;MCZ;FES_MCZ;5,71%;13,02%;23,12%;22,73%;0,00%;8,61%;7,81%;19,00%;100,00%
FES;MCZ;ITN_MCZ;0,00%;7,75%;13,76%;10,25%;37,10%;5,12%;7,02%;19,00%;100,00%
FES;MCZ;VDC_MCZ;0,00%;7,08%;12,56%;9,36%;40,57%;4,68%;6,75%;19,00%;100,00%
REC;MCZ;CAU_MCZ;0,00%;5,71%;18,54%;15,41%;30,64%;5,52%;5,17%;19,00%;100,00%
SSA;MCZ;SSA_MCZ;9,18%;7,19%;25,63%;26,57%;0,00%;6,52%;5,91%;19,00%;100,00%
VIX;MCZ;VIX_MCZ;4,56%;8,15%;23,18%;17,78%;0,00%;14,34%;13,00%;19,00%;100,00%
BHZ;MCZ;BHZ_MCZ;5,68%;6,87%;24,15%;18,34%;0,00%;13,78%;12,18%;19,00%;100,00%
BSB;MCZ;BSB_MCZ;7,27%;7,10%;20,78%;18,38%;0,00%;14,40%;13,06%;19,00%;100,00%
BSB;MCZ;PMW_MCZ;0,00%;4,87%;14,26%;8,50%;32,39%;9,88%;11,11%;19,00%;100,00%
RIO;MCZ;CAW_MCZ;0,00%;5,54%;17,61%;9,67%;22,57%;12,16%;13,45%;19,00%;100,00%
BHZ;MCZ;DIV_MCZ;0,00%;6,59%;23,17%;11,51%;10,09%;13,22%;16,42%;19,00%;100,00%
BHZ;MCZ;JDF_MCZ;0,00%;5,36%;18,84%;9,36%;22,96%;10,75%;13,73%;19,00%;100,00%
GYN;MCZ;GYN_MCZ;7,59%;7,18%;21,30%;13,92%;0,00%;16,26%;14,75%;19,00%;100,00%
RIO;MCZ;RIO_MCZ;10,12%;6,53%;20,75%;16,29%;0,00%;14,33%;12,99%;19,00%;100,00%
BHZ;MCZ;PSA_MCZ;0,00%;5,18%;18,21%;9,04%;33,71%;10,39%;4,47%;19,00%;100,00%
CPQ;MCZ;SJK_MCZ;0,00%;4,97%;15,70%;8,68%;22,27%;14,98%;14,39%;19,00%;100,00%
CPQ;MCZ;CPQ_MCZ;6,56%;5,44%;17,19%;19,34%;0,00%;16,40%;16,07%;19,00%;100,00%
SAO;MCZ;SAO_MCZ;4,62%;5,91%;22,31%;12,54%;0,00%;17,99%;17,63%;19,00%;100,00%
SAO;MCZ;SSZ_MCZ;0,00%;4,41%;16,67%;7,70%;25,53%;13,44%;13,25%;19,00%;100,00%
CPQ;MCZ;SOD_MCZ;0,00%;5,24%;16,54%;9,14%;18,22%;15,78%;16,07%;19,00%;100,00%
BAU;MCZ;BAU_MCZ;6,99%;4,49%;24,24%;14,28%;0,00%;16,02%;14,98%;19,00%;100,00%
RAO;MCZ;RAO_MCZ;6,40%;4,91%;23,41%;14,59%;0,00%;17,05%;14,64%;19,00%;100,00%
CWB;MCZ;CWB_MCZ;4,64%;4,76%;22,63%;17,79%;0,00%;16,98%;14,20%;19,00%;100,00%
JOI;MCZ;JOI_MCZ;3,44%;5,12%;24,73%;13,98%;0,00%;18,47%;15,26%;19,00%;100,00%
BSB;MCZ;CGB_MCZ;32,74%;3,18%;10,04%;11,30%;0,00%;14,36%;9,38%;19,00%;100,00%
BSB;MCZ;CGR_MCZ;31,34%;3,52%;13,30%;7,48%;0,00%;14,85%;10,51%;19,00%;100,00%
SJP;MCZ;SJP_MCZ;3,42%;4,11%;33,07%;12,79%;0,00%;15,36%;12,25%;19,00%;100,00%
ITJ;MCZ;ITJ_MCZ;0,00%;5,31%;25,66%;11,26%;3,79%;19,16%;15,83%;19,00%;100,00%
BNU;MCZ;BNU_MCZ;3,18%;5,34%;26,91%;13,37%;0,00%;16,26%;15,93%;19,00%;100,00%
LDB;MCZ;LDB_MCZ;4,36%;4,95%;23,15%;12,81%;0,00%;18,16%;17,57%;19,00%;100,00%
FLN;MCZ;FLN_MCZ;3,39%;4,80%;25,48%;14,62%;0,00%;18,41%;14,31%;19,00%;100,00%
SJP;MCZ;PPB_MCZ;0,00%;3,65%;29,38%;7,74%;13,36%;13,65%;13,22%;19,00%;100,00%
UDI;MCZ;UDI_MCZ;3,38%;5,20%;26,99%;14,05%;0,00%;15,85%;15,53%;19,00%;100,00%
MGF;MCZ;MGF_MCZ;2,97%;4,92%;24,19%;15,19%;0,00%;19,04%;14,70%;19,00%;100,00%
BEL;MCZ;BEL_MCZ;5,24%;5,12%;20,71%;22,73%;0,00%;17,11%;10,10%;19,00%;100,00%
FLN;MCZ;LAJ_MCZ;0,00%;4,12%;21,91%;8,76%;18,06%;15,83%;12,31%;19,00%;100,00%
FLN;MCZ;CCM_MCZ;0,00%;3,85%;20,47%;8,18%;22,22%;14,78%;11,50%;19,00%;100,00%
LDB;MCZ;CAC_MCZ;0,00%;4,26%;19,91%;9,04%;15,44%;15,62%;16,73%;19,00%;100,00%
FLN;MCZ;XAP_MCZ;0,00%;4,17%;22,17%;8,86%;17,34%;16,01%;12,45%;19,00%;100,00%
CXJ;MCZ;CXJ_MCZ;5,96%;5,08%;19,95%;14,01%;0,00%;20,85%;15,15%;19,00%;100,00%
POA;MCZ;POA_MCZ;3,22%;4,64%;24,74%;15,04%;0,00%;19,50%;13,86%;19,00%;100,00%
REC;MCZ;REC_MCZ;15,02%;11,78%;38,21%;0,00%;0,00%;11,38%;4,60%;19,00%;100,00%
REC;MCZ;PNZ_MCZ;0,00%;6,94%;22,53%;0,00%;42,09%;6,71%;2,72%;19,00%;100,00%
JPA;MCZ;JPA_MCZ;10,26%;12,31%;30,48%;0,00%;0,00%;20,58%;7,38%;19,00%;100,00%
NAT;MCZ;NAT_MCZ;11,66%;10,82%;32,47%;0,00%;0,00%;19,57%;6,48%;19,00%;100,00%
FOR;MCZ;THE_MCZ;0,00%;6,26%;19,84%;0,00%;39,70%;11,44%;3,75%;19,00%;100,00%
FOR;MCZ;FOR_MCZ;11,97%;10,47%;33,16%;0,00%;0,00%;19,12%;6,27%;19,00%;100,00%
FOR;MCZ;IMP_MCZ;0,00%;6,21%;19,69%;0,00%;40,02%;11,35%;3,73%;19,00%;100,00%
FOR;MCZ;SLZ_MCZ;0,00%;6,41%;20,30%;0,00%;38,74%;11,71%;3,84%;19,00%;100,00%
MGF;MGF;MGF_MGF;18,08%;0,00%;34,03%;28,88%;0,00%;0,00%;0,00%;19,00%;100,00%
LDB;MGF;CAC_MGF;0,00%;6,14%;20,70%;9,81%;36,96%;3,19%;4,19%;19,00%;100,00%
LDB;MGF;LDB_MGF;13,23%;9,05%;30,48%;21,40%;0,00%;4,70%;2,14%;19,00%;100,00%
CWB;MGF;CWB_MGF;8,75%;5,41%;26,99%;27,29%;0,00%;7,25%;5,31%;19,00%;100,00%
JOI;MGF;JOI_MGF;4,92%;4,41%;29,77%;26,73%;0,00%;9,00%;6,17%;19,00%;100,00%
SAO;MGF;SAO_MGF;6,98%;5,37%;35,98%;16,08%;0,00%;9,81%;6,77%;19,00%;100,00%
BNU;MGF;BNU_MGF;3,75%;3,79%;33,47%;25,34%;0,00%;8,59%;6,08%;19,00%;100,00%
ITJ;MGF;ITJ_MGF;0,00%;4,77%;32,15%;24,05%;5,64%;9,72%;4,68%;19,00%;100,00%
SAO;MGF;SSZ_MGF;0,00%;3,54%;23,66%;8,37%;33,96%;6,45%;5,03%;19,00%;100,00%
CPQ;MGF;SJK_MGF;0,00%;3,29%;29,61%;9,85%;24,50%;8,10%;5,64%;19,00%;100,00%
CPQ;MGF;SOD_MGF;0,00%;3,59%;32,28%;10,74%;20,74%;8,84%;4,81%;19,00%;100,00%
CPQ;MGF;CPQ_MGF;7,34%;3,67%;33,01%;22,01%;0,00%;9,04%;5,92%;19,00%;100,00%
FLN;MGF;FLN_MGF;4,07%;3,47%;32,27%;26,38%;0,00%;8,59%;6,22%;19,00%;100,00%
FLN;MGF;LAJ_MGF;0,00%;2,87%;26,72%;17,42%;20,90%;7,11%;5,98%;19,00%;100,00%
BHZ;MGF;PSA_MGF;0,00%;2,77%;26,56%;8,29%;29,94%;9,10%;4,33%;19,00%;100,00%
FLN;MGF;CCM_MGF;0,00%;2,65%;24,65%;16,07%;25,40%;6,56%;5,67%;19,00%;100,00%
RAO;MGF;RAO_MGF;8,89%;4,11%;34,28%;18,10%;0,00%;10,43%;5,18%;19,00%;100,00%
BAU;MGF;BAU_MGF;9,41%;3,65%;34,18%;17,29%;0,00%;9,79%;6,70%;19,00%;100,00%
FLN;MGF;XAP_MGF;0,00%;2,87%;26,72%;17,42%;19,84%;7,11%;7,04%;19,00%;100,00%
