Resp. Origem;Resp. Destino;Rota;Coleta;Entrega;Terminais;Fixo das Unidades;Redespacho Coleta/Redespacho Entrega;Transferencias;Vazios;Custo Matriz;Total
NAT;GYN;NAT_GYN;8,03%;7,87%;23,11%;11,11%;0,00%;20,26%;10,62%;19,00%;100,00%
VIX;GYN;VIX_GYN;4,97%;9,37%;35,47%;13,76%;0,00%;9,14%;8,29%;19,00%;100,00%
FOR;GYN;THE_GYN;0,00%;5,54%;17,15%;3,23%;33,25%;14,36%;7,47%;19,00%;100,00%
FOR;GYN;FOR_GYN;7,97%;7,37%;22,79%;13,85%;0,00%;19,09%;9,93%;19,00%;100,00%
BHZ;GYN;BHZ_GYN;8,48%;10,84%;30,07%;11,45%;0,00%;10,57%;9,59%;19,00%;100,00%
RIO;GYN;CAW_GYN;0,00%;6,54%;28,44%;3,52%;25,21%;10,66%;6,63%;19,00%;100,00%
BHZ;GYN;DIV_GYN;0,00%;11,25%;31,18%;2,05%;16,30%;10,97%;9,25%;19,00%;100,00%
BHZ;GYN;JDF_GYN;0,00%;8,08%;22,41%;1,47%;32,77%;7,88%;8,39%;19,00%;100,00%
FOR;GYN;IMP_GYN;0,00%;5,51%;17,04%;3,21%;33,56%;14,27%;7,43%;19,00%;100,00%
RIO;GYN;RIO_GYN;11,10%;7,56%;32,90%;9,45%;0,00%;12,32%;7,67%;19,00%;100,00%
BHZ;GYN;PSA_GYN;0,00%;6,17%;17,12%;1,12%;38,03%;6,02%;12,54%;19,00%;100,00%
CPQ;GYN;SJK_GYN;0,00%;6,35%;27,49%;3,42%;26,92%;8,74%;8,08%;19,00%;100,00%
CPQ;GYN;CPQ_GYN;8,16%;7,16%;31,00%;16,12%;0,00%;9,85%;8,70%;19,00%;100,00%
CPQ;GYN;SOD_GYN;0,00%;6,98%;30,24%;3,76%;23,00%;9,61%;7,40%;19,00%;100,00%
LDB;GYN;LDB_GYN;6,87%;8,24%;31,88%;8,05%;0,00%;13,20%;12,75%;19,00%;100,00%
LDB;GYN;CAC_GYN;0,00%;6,56%;25,38%;3,53%;22,51%;10,51%;12,50%;19,00%;100,00%
FOR;GYN;SLZ_GYN;0,00%;5,89%;18,22%;0,00%;33,69%;15,26%;7,94%;19,00%;100,00%
BEL;GYN;BEL_GYN;7,82%;8,07%;41,68%;0,00%;0,00%;13,62%;9,81%;19,00%;100,00%
FES;FOR;FES_IMP;3,40%;49,91%;5,33%;3,28%;0,00%;8,64%;10,44%;19,00%;100,00%
FES;FOR;ITN_IMP;0,00%;35,52%;3,79%;0,00%;26,41%;6,15%;9,14%;19,00%;100,00%
FES;FOR;VDC_IMP;0,00%;33,63%;3,59%;0,00%;29,94%;5,82%;8,02%;19,00%;100,00%
FOR;FOR;SLZ_IMP;0,00%;37,58%;8,13%;0,00%;35,28%;0,00%;0,00%;19,00%;100,00%
FOR;FOR;THE_IMP;0,00%;36,80%;7,96%;0,00%;36,24%;0,00%;0,00%;19,00%;100,00%
SSA;FOR;SSA_IMP;6,67%;33,65%;12,95%;12,41%;0,00%;7,11%;8,20%;19,00%;100,00%
BEL;FOR;BEL_IMP;7,02%;44,22%;6,03%;9,10%;0,00%;10,40%;4,23%;19,00%;100,00%
AJU;FOR;AJU_IMP;9,85%;36,20%;7,99%;10,10%;0,00%;9,28%;7,57%;19,00%;100,00%
REC;FOR;PNZ_IMP;0,00%;28,28%;9,26%;1,86%;26,62%;9,07%;5,92%;19,00%;100,00%
MCZ;FOR;MCZ_IMP;5,76%;37,07%;10,22%;10,05%;0,00%;10,14%;7,76%;19,00%;100,00%
REC;FOR;CAU_IMP;0,00%;29,39%;9,63%;1,93%;24,47%;9,42%;6,15%;19,00%;100,00%
REC;FOR;REC_IMP;6,81%;34,38%;11,26%;10,34%;0,00%;11,02%;7,19%;19,00%;100,00%
JPA;FOR;JPA_IMP;4,99%;38,58%;8,32%;8,30%;0,00%;12,74%;8,07%;19,00%;100,00%
VIX;FOR;VIX_IMP;3,20%;36,81%;10,04%;4,91%;0,00%;12,65%;13,39%;19,00%;100,00%
BHZ;FOR;BHZ_IMP;4,18%;32,56%;12,27%;6,81%;0,00%;12,43%;12,75%;19,00%;100,00%
BSB;FOR;BSB_IMP;5,31%;33,34%;9,53%;6,56%;0,00%;12,86%;13,40%;19,00%;100,00%
BSB;FOR;PMW_IMP;0,00%;24,99%;7,14%;1,64%;25,82%;9,64%;11,76%;19,00%;100,00%
RIO;FOR;CAW_IMP;0,00%;27,67%;8,99%;1,82%;17,50%;11,38%;13,64%;19,00%;100,00%
BHZ;FOR;DIV_IMP;0,00%;31,57%;11,90%;2,08%;7,51%;12,06%;15,88%;19,00%;100,00%
BHZ;FOR;JDF_IMP;0,00%;26,97%;10,17%;1,77%;17,94%;10,30%;13,86%;19,00%;100,00%
GYN;FOR;GYN_IMP;5,52%;33,64%;9,80%;3,22%;0,00%;14,20%;14,63%;19,00%;100,00%
RIO;FOR;RIO_IMP;7,55%;31,34%;10,18%;5,71%;0,00%;12,89%;13,33%;19,00%;100,00%
BHZ;FOR;PSA_IMP;0,00%;26,25%;9,90%;1,73%;26,53%;10,03%;6,57%;19,00%;100,00%
CPQ;FOR;SJK_IMP;0,00%;25,41%;8,17%;1,67%;17,68%;13,69%;14,38%;19,00%;100,00%
CPQ;FOR;CPQ_IMP;5,10%;27,29%;8,77%;9,46%;0,00%;14,70%;15,68%;19,00%;100,00%
SAO;FOR;SAO_IMP;3,53%;29,07%;12,14%;3,61%;0,00%;15,80%;16,85%;19,00%;100,00%
SAO;FOR;SSZ_IMP;0,00%;23,09%;9,64%;1,52%;20,75%;12,55%;13,45%;19,00%;100,00%
CPQ;FOR;SOD_IMP;0,00%;26,48%;8,51%;1,74%;14,31%;14,26%;15,70%;19,00%;100,00%
JOI;FOR;JOI_IMP;2,71%;25,99%;15,13%;5,70%;0,00%;16,41%;15,06%;19,00%;100,00%
BAU;FOR;BAU_IMP;5,66%;23,44%;15,67%;6,75%;0,00%;14,63%;14,85%;19,00%;100,00%
RAO;FOR;RAO_IMP;5,09%;25,15%;14,39%;6,45%;0,00%;15,35%;14,57%;19,00%;100,00%
CWB;FOR;CWB_IMP;3,72%;24,55%;13,98%;9,21%;0,00%;15,33%;14,23%;19,00%;100,00%
BSB;FOR;CGB_IMP;28,08%;17,55%;5,64%;6,09%;0,00%;13,55%;10,09%;19,00%;100,00%
BSB;FOR;CGR_IMP;26,47%;19,16%;8,00%;2,38%;0,00%;13,90%;11,10%;19,00%;100,00%
SJP;FOR;SJP_IMP;2,82%;21,77%;23,55%;6,06%;0,00%;14,19%;12,62%;19,00%;100,00%
ITJ;FOR;ITJ_IMP;0,00%;26,75%;15,57%;3,33%;2,96%;16,89%;15,50%;19,00%;100,00%
BNU;FOR;BNU_IMP;2,49%;26,89%;16,50%;4,94%;0,00%;14,61%;15,58%;19,00%;100,00%
LDB;FOR;LDB_IMP;3,47%;25,34%;14,11%;4,97%;0,00%;16,22%;16,90%;19,00%;100,00%
FLN;FOR;FLN_IMP;2,71%;24,70%;16,20%;6,62%;0,00%;16,46%;14,31%;19,00%;100,00%
SJP;FOR;PPB_IMP;0,00%;19,73%;21,35%;2,45%;11,22%;12,86%;13,39%;19,00%;100,00%
UDI;FOR;UDI_IMP;2,66%;26,35%;16,77%;5,63%;0,00%;14,32%;15,27%;19,00%;100,00%
MGF;FOR;MGF_IMP;2,36%;25,22%;14,98%;6,90%;0,00%;16,92%;14,62%;19,00%;100,00%
FLN;FOR;LAJ_IMP;0,00%;21,85%;14,34%;2,72%;14,86%;14,57%;12,67%;19,00%;100,00%
FLN;FOR;CCM_IMP;0,00%;20,65%;13,55%;2,57%;18,50%;13,76%;11,97%;19,00%;100,00%
LDB;FOR;CAC_IMP;0,00%;22,44%;12,50%;2,79%;12,63%;14,36%;16,29%;19,00%;100,00%
FLN;FOR;XAP_IMP;0,00%;22,06%;14,47%;2,74%;14,24%;14,70%;12,78%;19,00%;100,00%
POA;FOR;POA_IMP;2,34%;21,78%;17,91%;8,55%;0,00%;15,87%;14,54%;19,00%;100,00%
