ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
AJUPRI2;AJU;PRI2;SE;PR; R$ 283,13 ; R$ 332,67 ; R$ 392,29 ; R$ 501,05 ; R$ 691,81 ; R$ 1.024,80 ; R$ 10,25 ;1,03%
AJURAO;AJU;RAO;SE;SP; R$ 190,45 ; R$ 223,77 ; R$ 263,87 ; R$ 337,03 ; R$ 465,36 ; R$ 689,34 ; R$ 6,89 ;0,83%
AJURAO2;AJU;RAO2;SE;SP; R$ 271,86 ; R$ 319,42 ; R$ 376,67 ; R$ 481,11 ; R$ 664,26 ; R$ 983,99 ; R$ 9,85 ;0,83%
AJUREC;AJU;REC;SE;PE; R$ 130,82 ; R$ 153,70 ; R$ 181,24 ; R$ 231,49 ; R$ 319,62 ; R$ 473,46 ; R$ 4,74 ;0,72%
AJURIO;AJU;RIO;SE;RJ; R$ 163,02 ; R$ 191,54 ; R$ 225,87 ; R$ 288,50 ; R$ 398,32 ; R$ 590,05 ; R$ 5,90 ;0,72%
AJURJI;AJU;RJI;SE;RJ; R$ 220,48 ; R$ 259,04 ; R$ 305,46 ; R$ 390,16 ; R$ 538,69 ; R$ 797,98 ; R$ 7,98 ;0,83%
AJURJI2;AJU;RJI2;SE;RJ; R$ 279,02 ; R$ 327,84 ; R$ 386,59 ; R$ 493,79 ; R$ 681,78 ; R$ 1.009,94 ; R$ 10,10 ;0,83%
AJURNI;AJU;RNI;SE;RN; R$ 172,99 ; R$ 203,26 ; R$ 239,68 ; R$ 306,14 ; R$ 422,68 ; R$ 626,13 ; R$ 6,26 ;0,83%
AJURNI2;AJU;RNI2;SE;RN; R$ 212,91 ; R$ 250,15 ; R$ 294,99 ; R$ 376,79 ; R$ 520,22 ; R$ 770,62 ; R$ 7,71 ;0,83%
AJURSI;AJU;RSI;SE;RS; R$ 267,74 ; R$ 314,59 ; R$ 370,96 ; R$ 473,81 ; R$ 654,20 ; R$ 969,10 ; R$ 9,69 ;1,24%
AJURSI2;AJU;RSI2;SE;RS; R$ 304,72 ; R$ 358,02 ; R$ 422,18 ; R$ 539,24 ; R$ 744,54 ; R$ 1.102,90 ; R$ 11,03 ;1,24%
AJUSAO;AJU;SAO;SE;SP; R$ 165,67 ; R$ 194,65 ; R$ 229,53 ; R$ 293,17 ; R$ 404,79 ; R$ 599,62 ; R$ 5,99 ;0,78%
