ROTA;ORIGEM;DESTINO;UF_ORIGEM;UF_DESTINO;10-Frete Peso;20-Frete Peso;30-Frete Peso;50-Frete Peso;75-Frete Peso;100-Frete Peso;999,999,999.9999-Frete Peso;999,999,999.9999-Frete Valor
MGFCEI2;MGF;CEI2;PR;CE; R$ 404,63 ; R$ 475,43 ; R$ 560,62 ; R$ 716,07 ; R$ 988,69 ; R$ 1.464,57 ; R$ 14,64 ;1,36%
MGFCGB;MGF;CGB;PR;MT; R$ 287,85 ; R$ 338,22 ; R$ 398,82 ; R$ 509,41 ; R$ 703,34 ; R$ 1.041,88 ; R$ 10,42 ;0,79%
MGFCGR;MGF;CGR;PR;MS; R$ 244,38 ; R$ 287,13 ; R$ 338,59 ; R$ 432,47 ; R$ 597,12 ; R$ 884,52 ; R$ 8,85 ;0,79%
MGFCPF;MGF;CPF;PR;SP; R$ 133,34 ; R$ 156,67 ; R$ 184,74 ; R$ 235,97 ; R$ 325,81 ; R$ 482,62 ; R$ 4,82 ;0,40%
MGFCPF2;MGF;CPF2;PR;SP; R$ 154,45 ; R$ 181,47 ; R$ 213,99 ; R$ 273,31 ; R$ 377,37 ; R$ 559,00 ; R$ 5,59 ;0,63%
MGFCPQ;MGF;CPQ;PR;SP; R$ 109,19 ; R$ 128,29 ; R$ 151,28 ; R$ 193,22 ; R$ 266,78 ; R$ 395,19 ; R$ 3,95 ;0,40%
MGFCWB;MGF;CWB;PR;PR; R$ 91,86 ; R$ 107,93 ; R$ 127,26 ; R$ 162,55 ; R$ 224,44 ; R$ 332,45 ; R$ 3,32 ;0,34%
MGFDIV;MGF;DIV;PR;MG; R$ 140,07 ; R$ 164,57 ; R$ 194,06 ; R$ 247,87 ; R$ 342,25 ; R$ 506,97 ; R$ 5,08 ;0,79%
MGFESI;MGF;ESI;PR;ES; R$ 181,73 ; R$ 213,53 ; R$ 251,80 ; R$ 321,61 ; R$ 444,07 ; R$ 657,80 ; R$ 6,58 ;0,91%
MGFESI2;MGF;ESI2;PR;ES; R$ 210,68 ; R$ 247,55 ; R$ 291,90 ; R$ 372,84 ; R$ 514,77 ; R$ 762,56 ; R$ 7,62 ;0,91%
MGFFES;MGF;FES;PR;BA; R$ 201,41 ; R$ 236,65 ; R$ 279,06 ; R$ 356,43 ; R$ 492,12 ; R$ 729,00 ; R$ 7,29 ;0,86%
MGFFLN;MGF;FLN;PR;SC; R$ 120,54 ; R$ 141,62 ; R$ 167,01 ; R$ 213,31 ; R$ 294,52 ; R$ 436,29 ; R$ 4,37 ;0,34%
MGFFOR;MGF;FOR;PR;CE; R$ 277,40 ; R$ 325,94 ; R$ 384,34 ; R$ 490,91 ; R$ 677,80 ; R$ 1.004,06 ; R$ 10,03 ;1,25%
MGFGOI;MGF;GOI;PR;GO; R$ 185,95 ; R$ 218,49 ; R$ 257,63 ; R$ 329,07 ; R$ 454,36 ; R$ 673,05 ; R$ 6,73 ;0,91%
MGFGOI2;MGF;GOI2;PR;GO; R$ 219,60 ; R$ 258,03 ; R$ 304,27 ; R$ 388,64 ; R$ 536,58 ; R$ 794,86 ; R$ 7,96 ;0,91%
MGFGUDI;MGF;GUDI;PR;MG; R$ 169,85 ; R$ 199,56 ; R$ 235,33 ; R$ 300,58 ; R$ 415,00 ; R$ 614,76 ; R$ 6,15 ;0,91%
MGFGUDI2;MGF;GUDI2;PR;MG; R$ 204,34 ; R$ 240,10 ; R$ 283,11 ; R$ 361,63 ; R$ 499,30 ; R$ 739,62 ; R$ 7,40 ;0,91%
MGFGYN;MGF;GYN;PR;GO; R$ 137,64 ; R$ 161,73 ; R$ 190,71 ; R$ 243,59 ; R$ 336,33 ; R$ 498,21 ; R$ 4,98 ;0,79%
MGFITJ;MGF;ITJ;PR;SC; R$ 126,21 ; R$ 148,30 ; R$ 174,86 ; R$ 223,36 ; R$ 308,39 ; R$ 456,82 ; R$ 4,57 ;0,40%
MGFJOI;MGF;JOI;PR;SC; R$ 128,49 ; R$ 150,98 ; R$ 178,02 ; R$ 227,39 ; R$ 313,96 ; R$ 465,08 ; R$ 4,65 ;0,34%
MGFJPA;MGF;JPA;PR;PB; R$ 261,89 ; R$ 307,71 ; R$ 362,86 ; R$ 463,47 ; R$ 639,92 ; R$ 947,92 ; R$ 9,48 ;1,25%
MGFLDB;MGF;LDB;PR;PR; R$ 82,08 ; R$ 96,44 ; R$ 113,71 ; R$ 145,25 ; R$ 200,54 ; R$ 297,06 ; R$ 2,97 ;0,31%
MGFMAI;MGF;MAI;PR;MA; R$ 348,81 ; R$ 409,85 ; R$ 483,29 ; R$ 617,28 ; R$ 852,29 ; R$ 1.262,53 ; R$ 12,62 ;1,36%
MGFMAI2;MGF;MAI2;PR;MA; R$ 447,37 ; R$ 525,65 ; R$ 619,84 ; R$ 791,70 ; R$ 1.093,11 ; R$ 1.619,26 ; R$ 16,20 ;1,36%
MGFMCP;MGF;MCP;PR;AP; R$ 393,04 ; R$ 461,81 ; R$ 544,57 ; R$ 695,56 ; R$ 960,37 ; R$ 1.422,62 ; R$ 14,23 ;1,36%
MGFMCZ;MGF;MCZ;PR;AL; R$ 244,47 ; R$ 287,26 ; R$ 338,73 ; R$ 432,65 ; R$ 597,36 ; R$ 884,89 ; R$ 8,84 ;0,91%
MGFMGF;MGF;MGF;PR;PR; R$ 71,20 ; R$ 83,66 ; R$ 98,64 ; R$ 126,00 ; R$ 173,97 ; R$ 257,70 ; R$ 2,57 ;0,31%
MGFMGI;MGF;MGI;PR;MG; R$ 170,79 ; R$ 200,66 ; R$ 236,63 ; R$ 302,25 ; R$ 417,31 ; R$ 618,17 ; R$ 6,19 ;0,68%
MGFMGI2;MGF;MGI2;PR;MG; R$ 202,06 ; R$ 237,41 ; R$ 279,95 ; R$ 357,58 ; R$ 493,71 ; R$ 731,34 ; R$ 7,32 ;0,79%
MGFMSI;MGF;MSI;PR;MS; R$ 407,15 ; R$ 478,38 ; R$ 564,11 ; R$ 720,52 ; R$ 994,83 ; R$ 1.473,68 ; R$ 14,74 ;0,91%
MGFMSI2;MGF;MSI2;PR;MS; R$ 490,41 ; R$ 576,22 ; R$ 679,48 ; R$ 867,88 ; R$ 1.198,29 ; R$ 1.775,06 ; R$ 17,75 ;0,91%
MGFMTI;MGF;MTI;PR;MT; R$ 436,54 ; R$ 512,92 ; R$ 604,83 ; R$ 772,52 ; R$ 1.066,63 ; R$ 1.580,04 ; R$ 15,81 ;0,91%
MGFMTI2;MGF;MTI2;PR;MT; R$ 540,23 ; R$ 634,75 ; R$ 748,50 ; R$ 956,03 ; R$ 1.320,00 ; R$ 1.955,36 ; R$ 19,56 ;0,91%
MGFNAT;MGF;NAT;PR;RN; R$ 264,79 ; R$ 311,11 ; R$ 366,87 ; R$ 468,59 ; R$ 646,98 ; R$ 958,39 ; R$ 9,59 ;1,25%
MGFPAI;MGF;PAI;PR;PA; R$ 618,91 ; R$ 727,19 ; R$ 857,51 ; R$ 1.095,26 ; R$ 1.512,24 ; R$ 2.240,12 ; R$ 22,41 ;1,49%
MGFPAI2;MGF;PAI2;PR;PA; R$ 724,87 ; R$ 851,70 ; R$ 1.004,32 ; R$ 1.282,78 ; R$ 1.771,15 ; R$ 2.623,66 ; R$ 26,24 ;1,49%
MGFPBI;MGF;PBI;PR;PB; R$ 323,94 ; R$ 380,61 ; R$ 448,83 ; R$ 573,27 ; R$ 791,53 ; R$ 1.172,51 ; R$ 11,72 ;1,36%
MGFPBI2;MGF;PBI2;PR;PB; R$ 399,69 ; R$ 469,62 ; R$ 553,78 ; R$ 707,32 ; R$ 976,62 ; R$ 1.446,69 ; R$ 14,47 ;1,36%
MGFPEI;MGF;PEI;PR;PE; R$ 330,73 ; R$ 388,60 ; R$ 458,23 ; R$ 585,28 ; R$ 808,11 ; R$ 1.197,08 ; R$ 11,97 ;1,36%
MGFPEI2;MGF;PEI2;PR;PE; R$ 386,19 ; R$ 453,75 ; R$ 535,07 ; R$ 683,43 ; R$ 943,62 ; R$ 1.397,80 ; R$ 13,98 ;1,36%
MGFPII;MGF;PII;PR;PI; R$ 353,96 ; R$ 415,90 ; R$ 490,43 ; R$ 626,41 ; R$ 864,89 ; R$ 1.281,18 ; R$ 12,82 ;1,36%
MGFPII2;MGF;PII2;PR;PI; R$ 427,25 ; R$ 501,99 ; R$ 591,96 ; R$ 756,09 ; R$ 1.043,94 ; R$ 1.546,42 ; R$ 15,46 ;1,36%
MGFPMW;MGF;PMW;PR;TO; R$ 170,90 ; R$ 200,81 ; R$ 236,79 ; R$ 302,44 ; R$ 417,58 ; R$ 618,58 ; R$ 6,18 ;0,79%
MGFPOA;MGF;POA;PR;RS; R$ 136,82 ; R$ 160,75 ; R$ 189,56 ; R$ 242,13 ; R$ 334,30 ; R$ 495,20 ; R$ 4,95 ;0,63%
MGFPPB;MGF;PPB;PR;SP; R$ 145,20 ; R$ 170,61 ; R$ 201,17 ; R$ 256,96 ; R$ 354,79 ; R$ 525,55 ; R$ 5,25 ;0,79%
MGFPPB2;MGF;PPB2;PR;SP; R$ 161,61 ; R$ 189,89 ; R$ 223,91 ; R$ 285,99 ; R$ 394,87 ; R$ 584,94 ; R$ 5,84 ;0,79%
MGFPRI;MGF;PRI;PR;PR; R$ 110,61 ; R$ 129,97 ; R$ 153,24 ; R$ 195,74 ; R$ 270,26 ; R$ 400,34 ; R$ 4,00 ;0,68%
MGFPRI2;MGF;PRI2;PR;PR; R$ 140,14 ; R$ 164,66 ; R$ 194,16 ; R$ 248,00 ; R$ 342,42 ; R$ 507,25 ; R$ 5,07 ;0,68%
MGFRAO;MGF;RAO;PR;SP; R$ 129,41 ; R$ 152,06 ; R$ 179,30 ; R$ 229,01 ; R$ 316,19 ; R$ 468,39 ; R$ 4,68 ;0,63%
MGFRAO2;MGF;RAO2;PR;SP; R$ 173,00 ; R$ 203,26 ; R$ 239,69 ; R$ 306,14 ; R$ 422,69 ; R$ 626,15 ; R$ 6,26 ;0,63%
MGFREC;MGF;REC;PR;PE; R$ 263,22 ; R$ 309,26 ; R$ 364,68 ; R$ 465,81 ; R$ 643,13 ; R$ 952,70 ; R$ 9,52 ;1,25%
MGFRIO;MGF;RIO;PR;RJ; R$ 132,29 ; R$ 155,43 ; R$ 183,28 ; R$ 234,10 ; R$ 323,24 ; R$ 478,82 ; R$ 4,79 ;0,63%
MGFRJI;MGF;RJI;PR;RJ; R$ 174,27 ; R$ 204,76 ; R$ 241,45 ; R$ 308,40 ; R$ 425,82 ; R$ 630,76 ; R$ 6,30 ;0,68%
MGFRJI2;MGF;RJI2;PR;RJ; R$ 199,15 ; R$ 233,99 ; R$ 275,91 ; R$ 352,41 ; R$ 486,59 ; R$ 720,79 ; R$ 7,21 ;0,91%
MGFRNI;MGF;RNI;PR;RN; R$ 336,27 ; R$ 395,10 ; R$ 465,90 ; R$ 595,09 ; R$ 821,63 ; R$ 1.217,11 ; R$ 12,17 ;1,36%
MGFRNI2;MGF;RNI2;PR;RN; R$ 405,41 ; R$ 476,34 ; R$ 561,70 ; R$ 717,44 ; R$ 990,59 ; R$ 1.467,37 ; R$ 14,67 ;1,36%
MGFRSI;MGF;RSI;PR;RS; R$ 181,67 ; R$ 213,46 ; R$ 251,71 ; R$ 321,48 ; R$ 443,89 ; R$ 657,54 ; R$ 6,57 ;0,68%
MGFRSI2;MGF;RSI2;PR;RS; R$ 220,65 ; R$ 259,26 ; R$ 305,71 ; R$ 390,47 ; R$ 539,13 ; R$ 798,63 ; R$ 7,99 ;0,68%
MGFSAO;MGF;SAO;PR;SP; R$ 97,55 ; R$ 114,61 ; R$ 135,16 ; R$ 172,63 ; R$ 238,36 ; R$ 353,09 ; R$ 3,52 ;0,40%
MGFSCI;MGF;SCI;PR;SC; R$ 159,75 ; R$ 187,69 ; R$ 221,33 ; R$ 282,69 ; R$ 390,31 ; R$ 578,19 ; R$ 5,78 ;0,68%
MGFSCI2;MGF;SCI2;PR;SC; R$ 191,85 ; R$ 225,41 ; R$ 265,79 ; R$ 339,49 ; R$ 468,74 ; R$ 694,35 ; R$ 6,95 ;0,68%
MGFSEI;MGF;SEI;PR;SE; R$ 299,56 ; R$ 351,95 ; R$ 415,04 ; R$ 530,11 ; R$ 731,93 ; R$ 1.084,23 ; R$ 10,84 ;1,02%
MGFSEI2;MGF;SEI2;PR;SE; R$ 347,78 ; R$ 408,63 ; R$ 481,87 ; R$ 615,47 ; R$ 849,79 ; R$ 1.258,81 ; R$ 12,59 ;1,02%
MGFSJK;MGF;SJK;PR;SP; R$ 111,07 ; R$ 130,51 ; R$ 153,89 ; R$ 196,55 ; R$ 271,38 ; R$ 402,01 ; R$ 4,01 ;0,45%
MGFSJK2;MGF;SJK2;PR;SP; R$ 152,04 ; R$ 178,64 ; R$ 210,65 ; R$ 269,06 ; R$ 371,49 ; R$ 550,30 ; R$ 5,50 ;0,63%
MGFSJP;MGF;SJP;PR;SP; R$ 122,08 ; R$ 143,45 ; R$ 169,15 ; R$ 216,05 ; R$ 298,29 ; R$ 441,88 ; R$ 4,42 ;0,63%
MGFSJP2;MGF;SJP2;PR;SP; R$ 164,78 ; R$ 193,61 ; R$ 228,30 ; R$ 291,60 ; R$ 402,61 ; R$ 596,40 ; R$ 5,96 ;0,79%
MGFSLZ;MGF;SLZ;PR;MA; R$ 311,83 ; R$ 366,39 ; R$ 432,05 ; R$ 551,82 ; R$ 761,91 ; R$ 1.128,65 ; R$ 11,29 ;1,25%
MGFSOD;MGF;SOD;PR;SP; R$ 110,28 ; R$ 129,57 ; R$ 152,78 ; R$ 195,14 ; R$ 269,43 ; R$ 399,12 ; R$ 3,98 ;0,40%
MGFSOD2;MGF;SOD2;PR;SP; R$ 155,76 ; R$ 183,01 ; R$ 215,81 ; R$ 275,64 ; R$ 380,58 ; R$ 563,77 ; R$ 5,63 ;0,63%
MGFSSA;MGF;SSA;PR;BA; R$ 205,92 ; R$ 241,95 ; R$ 285,31 ; R$ 364,41 ; R$ 503,15 ; R$ 745,33 ; R$ 7,46 ;0,86%
MGFSSZ;MGF;SSZ;PR;SP; R$ 129,61 ; R$ 152,30 ; R$ 179,57 ; R$ 229,37 ; R$ 316,70 ; R$ 469,13 ; R$ 4,69 ;0,40%
MGFSSZ2;MGF;SSZ2;PR;SP; R$ 151,24 ; R$ 177,69 ; R$ 209,54 ; R$ 267,63 ; R$ 369,52 ; R$ 547,38 ; R$ 5,47 ;0,63%
MGFTHE;MGF;THE;PR;PI; R$ 304,61 ; R$ 357,92 ; R$ 422,05 ; R$ 539,08 ; R$ 744,30 ; R$ 1.102,56 ; R$ 11,02 ;1,25%
MGFTOI;MGF;TOI;PR;TO; R$ 256,40 ; R$ 301,27 ; R$ 355,26 ; R$ 453,76 ; R$ 626,50 ; R$ 928,07 ; R$ 9,28 ;0,91%
MGFTOI2;MGF;TOI2;PR;TO; R$ 343,70 ; R$ 403,83 ; R$ 476,19 ; R$ 608,22 ; R$ 839,77 ; R$ 1.243,98 ; R$ 12,44 ;0,91%
MGFUDI;MGF;UDI;PR;MG; R$ 143,15 ; R$ 168,19 ; R$ 198,34 ; R$ 253,34 ; R$ 349,79 ; R$ 518,15 ; R$ 5,19 ;0,79%
MGFVIX;MGF;VIX;PR;ES; R$ 142,24 ; R$ 167,13 ; R$ 197,08 ; R$ 251,72 ; R$ 347,56 ; R$ 514,83 ; R$ 5,15 ;0,79%
MGIAJU;MGI;AJU;MG;SE; R$ 205,06 ; R$ 240,93 ; R$ 284,11 ; R$ 362,89 ; R$ 501,03 ; R$ 742,20 ; R$ 7,42 ;1,03%
MGIALI;MGI;ALI;MG;AL; R$ 277,27 ; R$ 325,78 ; R$ 384,16 ; R$ 490,68 ; R$ 677,49 ; R$ 1.003,57 ; R$ 10,04 ;1,24%
MGIALI2;MGI;ALI2;MG;AL; R$ 350,84 ; R$ 412,23 ; R$ 486,11 ; R$ 620,88 ; R$ 857,26 ; R$ 1.269,89 ; R$ 12,69 ;1,24%
MGIAPI;MGI;API;MG;AP; R$ 694,77 ; R$ 816,32 ; R$ 962,61 ; R$ 1.229,51 ; R$ 1.697,60 ; R$ 2.514,71 ; R$ 25,14 ;1,35%
MGIAPI2;MGI;API2;MG;API2; R$ 955,31 ; R$ 1.122,44 ; R$ 1.323,59 ; R$ 1.690,58 ; R$ 2.334,19 ; R$ 3.457,72 ; R$ 34,58 ;1,35%
MGIARU;MGI;ARU;MG;SP; R$ 184,04 ; R$ 216,23 ; R$ 254,99 ; R$ 325,68 ; R$ 449,67 ; R$ 666,12 ; R$ 6,66 ;0,83%
MGIARU2;MGI;ARU2;MG;SP; R$ 206,73 ; R$ 242,90 ; R$ 286,42 ; R$ 365,83 ; R$ 505,12 ; R$ 748,25 ; R$ 7,49 ;0,83%
MGIBAI;MGI;BAI;MG;BA; R$ 241,02 ; R$ 283,19 ; R$ 333,94 ; R$ 426,52 ; R$ 588,91 ; R$ 872,37 ; R$ 8,73 ;0,88%
MGIBAI2;MGI;BAI2;MG;BA; R$ 289,69 ; R$ 340,38 ; R$ 401,39 ; R$ 512,67 ; R$ 707,86 ; R$ 1.048,56 ; R$ 10,49 ;0,88%
MGIBAU;MGI;BAU;MG;SP; R$ 138,94 ; R$ 163,24 ; R$ 192,50 ; R$ 245,86 ; R$ 339,48 ; R$ 502,87 ; R$ 5,03 ;0,62%
MGIBAU2;MGI;BAU2;MG;SP; R$ 184,77 ; R$ 217,10 ; R$ 255,99 ; R$ 326,97 ; R$ 451,46 ; R$ 668,77 ; R$ 6,69 ;0,83%
MGIBEL;MGI;BEL;MG;PA; R$ 408,85 ; R$ 480,39 ; R$ 566,48 ; R$ 723,54 ; R$ 999,01 ; R$ 1.479,85 ; R$ 14,79 ;1,24%
MGIBHZ;MGI;BHZ;MG;MG; R$ 86,58 ; R$ 101,73 ; R$ 119,95 ; R$ 153,21 ; R$ 211,55 ; R$ 313,36 ; R$ 3,13 ;0,62%
MGIBNU;MGI;BNU;MG;SC; R$ 137,07 ; R$ 161,06 ; R$ 189,92 ; R$ 242,58 ; R$ 334,92 ; R$ 496,13 ; R$ 4,96 ;0,83%
MGIBSB;MGI;BSB;MG;DF; R$ 151,63 ; R$ 178,15 ; R$ 210,08 ; R$ 268,33 ; R$ 370,49 ; R$ 548,81 ; R$ 5,49 ;0,83%
MGICEI;MGI;CEI;MG;CE; R$ 310,58 ; R$ 364,91 ; R$ 430,30 ; R$ 549,62 ; R$ 758,86 ; R$ 1.124,12 ; R$ 11,24 ;1,24%
MGICEI2;MGI;CEI2;MG;CE; R$ 371,51 ; R$ 436,51 ; R$ 514,74 ; R$ 657,46 ; R$ 907,76 ; R$ 1.344,68 ; R$ 13,45 ;1,24%
MGICGB;MGI;CGB;MG;MT; R$ 386,32 ; R$ 453,91 ; R$ 535,25 ; R$ 683,66 ; R$ 943,93 ; R$ 1.398,27 ; R$ 13,98 ;0,83%
MGICGR;MGI;CGR;MG;MS; R$ 364,66 ; R$ 428,46 ; R$ 505,24 ; R$ 645,33 ; R$ 891,01 ; R$ 1.319,89 ; R$ 13,20 ;0,83%
MGICPF;MGI;CPF;MG;SP; R$ 164,20 ; R$ 192,92 ; R$ 227,50 ; R$ 290,57 ; R$ 401,19 ; R$ 594,31 ; R$ 5,94 ;0,62%
MGICPF2;MGI;CPF2;MG;SP; R$ 175,65 ; R$ 206,39 ; R$ 243,37 ; R$ 310,85 ; R$ 429,19 ; R$ 635,79 ; R$ 6,36 ;0,62%
MGICPQ;MGI;CPQ;MG;SP; R$ 129,36 ; R$ 151,99 ; R$ 179,23 ; R$ 228,92 ; R$ 316,07 ; R$ 468,22 ; R$ 4,68 ;0,62%
MGICWB;MGI;CWB;MG;PR; R$ 135,29 ; R$ 158,95 ; R$ 187,44 ; R$ 239,41 ; R$ 330,56 ; R$ 489,67 ; R$ 4,90 ;0,62%
MGIDIV;MGI;DIV;MG;MG; R$ 94,93 ; R$ 111,54 ; R$ 131,52 ; R$ 167,99 ; R$ 231,95 ; R$ 343,59 ; R$ 3,43 ;0,62%
MGIESI;MGI;ESI;MG;ES; R$ 166,37 ; R$ 195,46 ; R$ 230,50 ; R$ 294,41 ; R$ 406,49 ; R$ 602,15 ; R$ 6,02 ;0,83%
MGIESI2;MGI;ESI2;MG;ES; R$ 192,74 ; R$ 226,45 ; R$ 267,04 ; R$ 341,08 ; R$ 470,93 ; R$ 697,60 ; R$ 6,97 ;0,83%
MGIFES;MGI;FES;MG;BA; R$ 190,91 ; R$ 224,32 ; R$ 264,52 ; R$ 337,86 ; R$ 466,49 ; R$ 691,02 ; R$ 6,91 ;0,93%
MGIFLN;MGI;FLN;MG;SC; R$ 137,86 ; R$ 161,99 ; R$ 191,02 ; R$ 243,98 ; R$ 336,87 ; R$ 499,01 ; R$ 4,99 ;0,83%
MGIFOR;MGI;FOR;MG;CE; R$ 246,08 ; R$ 289,13 ; R$ 340,94 ; R$ 435,48 ; R$ 601,27 ; R$ 890,68 ; R$ 8,91 ;1,24%
MGIGOI;MGI;GOI;MG;GO; R$ 197,91 ; R$ 232,53 ; R$ 274,20 ; R$ 350,23 ; R$ 483,56 ; R$ 716,32 ; R$ 7,16 ;0,83%
MGIGOI2;MGI;GOI2;MG;GO; R$ 231,37 ; R$ 271,85 ; R$ 320,57 ; R$ 409,44 ; R$ 565,32 ; R$ 837,43 ; R$ 8,38 ;0,83%
MGIGUDI;MGI;GUDI;MG;MG; R$ 136,11 ; R$ 159,93 ; R$ 188,59 ; R$ 240,88 ; R$ 332,58 ; R$ 492,66 ; R$ 4,93 ;0,83%
MGIGUDI2;MGI;GUDI2;MG;MG; R$ 172,34 ; R$ 202,49 ; R$ 238,77 ; R$ 304,98 ; R$ 421,09 ; R$ 623,77 ; R$ 6,24 ;0,83%
MGIGYN;MGI;GYN;MG;GO; R$ 152,81 ; R$ 179,56 ; R$ 211,73 ; R$ 270,44 ; R$ 373,40 ; R$ 553,12 ; R$ 5,53 ;0,83%
MGIITJ;MGI;ITJ;MG;SC; R$ 145,66 ; R$ 171,16 ; R$ 201,83 ; R$ 257,78 ; R$ 355,92 ; R$ 527,23 ; R$ 5,27 ;0,83%
MGIJOI;MGI;JOI;MG;SC; R$ 142,33 ; R$ 167,23 ; R$ 197,20 ; R$ 251,88 ; R$ 347,78 ; R$ 515,17 ; R$ 5,16 ;0,83%
MGIJPA;MGI;JPA;MG;PB; R$ 226,33 ; R$ 265,94 ; R$ 313,59 ; R$ 400,54 ; R$ 553,03 ; R$ 819,22 ; R$ 8,19 ;1,24%
MGILDB;MGI;LDB;MG;PR; R$ 154,86 ; R$ 181,95 ; R$ 214,56 ; R$ 274,06 ; R$ 378,38 ; R$ 560,52 ; R$ 5,61 ;0,68%
MGIMAI;MGI;MAI;MG;MA; R$ 362,80 ; R$ 426,29 ; R$ 502,68 ; R$ 642,04 ; R$ 886,49 ; R$ 1.313,17 ; R$ 13,13 ;1,35%
MGIMAI2;MGI;MAI2;MG;MA; R$ 401,71 ; R$ 471,99 ; R$ 556,58 ; R$ 710,90 ; R$ 981,55 ; R$ 1.454,00 ; R$ 14,54 ;1,35%
MGIMCP;MGI;MCP;MG;AP; R$ 434,22 ; R$ 510,21 ; R$ 601,63 ; R$ 768,44 ; R$ 1.061,00 ; R$ 1.571,69 ; R$ 15,72 ;1,35%
MGIMCZ;MGI;MCZ;MG;AL; R$ 217,33 ; R$ 255,36 ; R$ 301,12 ; R$ 384,61 ; R$ 531,04 ; R$ 786,64 ; R$ 7,87 ;1,24%
MGIMGF;MGI;MGF;MG;PR; R$ 169,59 ; R$ 199,25 ; R$ 234,97 ; R$ 300,12 ; R$ 414,37 ; R$ 613,83 ; R$ 6,15 ;0,68%
MGIMGI;MGI;MGI;MG;MG; R$ 119,30 ; R$ 140,17 ; R$ 165,30 ; R$ 211,12 ; R$ 291,50 ; R$ 431,80 ; R$ 4,32 ;0,62%
MGIMGI2;MGI;MGI2;MG;MG; R$ 145,77 ; R$ 171,27 ; R$ 201,96 ; R$ 257,96 ; R$ 356,17 ; R$ 527,60 ; R$ 5,28 ;0,62%
MGIMSI;MGI;MSI;MG;MS; R$ 628,28 ; R$ 738,21 ; R$ 870,50 ; R$ 1.111,86 ; R$ 1.535,16 ; R$ 2.274,08 ; R$ 22,75 ;0,83%
MGIMSI2;MGI;MSI2;MG;MS; R$ 704,82 ; R$ 828,13 ; R$ 976,54 ; R$ 1.247,29 ; R$ 1.722,15 ; R$ 2.551,07 ; R$ 25,51 ;0,83%
MGIMTI;MGI;MTI;MG;MT; R$ 588,98 ; R$ 692,03 ; R$ 816,05 ; R$ 1.042,31 ; R$ 1.439,13 ; R$ 2.131,83 ; R$ 21,32 ;0,83%
MGIMTI2;MGI;MTI2;MG;MT; R$ 746,98 ; R$ 877,67 ; R$ 1.034,95 ; R$ 1.321,91 ; R$ 1.825,18 ; R$ 2.703,69 ; R$ 27,04 ;0,83%
MGINAT;MGI;NAT;MG;RN; R$ 231,35 ; R$ 271,83 ; R$ 320,55 ; R$ 409,42 ; R$ 565,29 ; R$ 837,38 ; R$ 8,38 ;1,24%
MGIPAI;MGI;PAI;MG;PA; R$ 638,50 ; R$ 750,22 ; R$ 884,67 ; R$ 1.129,95 ; R$ 1.560,13 ; R$ 2.311,08 ; R$ 23,11 ;1,24%
MGIPAI2;MGI;PAI2;MG;PA; R$ 982,60 ; R$ 1.154,52 ; R$ 1.361,41 ; R$ 1.738,88 ; R$ 2.400,89 ; R$ 3.556,51 ; R$ 35,57 ;1,24%
MGIPBI;MGI;PBI;MG;PB; R$ 297,15 ; R$ 349,13 ; R$ 411,70 ; R$ 525,85 ; R$ 726,05 ; R$ 1.075,52 ; R$ 10,75 ;1,24%
MGIPBI2;MGI;PBI2;MG;PB; R$ 351,48 ; R$ 412,97 ; R$ 486,98 ; R$ 622,01 ; R$ 858,80 ; R$ 1.272,18 ; R$ 12,72 ;1,24%
MGIPEI;MGI;PEI;MG;PE; R$ 277,33 ; R$ 325,86 ; R$ 384,25 ; R$ 490,79 ; R$ 677,64 ; R$ 1.003,81 ; R$ 10,04 ;1,24%
MGIPEI2;MGI;PEI2;MG;PE; R$ 346,24 ; R$ 406,81 ; R$ 479,72 ; R$ 612,73 ; R$ 846,01 ; R$ 1.253,21 ; R$ 12,53 ;1,24%
MGIPII;MGI;PII;MG;PI; R$ 349,85 ; R$ 411,07 ; R$ 484,73 ; R$ 619,12 ; R$ 854,83 ; R$ 1.266,28 ; R$ 12,67 ;1,24%
MGIPII2;MGI;PII2;MG;PI; R$ 381,69 ; R$ 448,47 ; R$ 528,83 ; R$ 675,47 ; R$ 932,62 ; R$ 1.381,52 ; R$ 13,81 ;1,24%
MGIPMW;MGI;PMW;MG;TO; R$ 224,65 ; R$ 263,96 ; R$ 311,27 ; R$ 397,57 ; R$ 548,92 ; R$ 813,14 ; R$ 8,13 ;0,88%
MGIPOA;MGI;POA;MG;RS; R$ 163,88 ; R$ 192,55 ; R$ 227,05 ; R$ 290,01 ; R$ 400,42 ; R$ 593,15 ; R$ 5,93 ;0,83%
MGIPPB;MGI;PPB;MG;SP; R$ 164,20 ; R$ 192,92 ; R$ 227,50 ; R$ 290,57 ; R$ 401,19 ; R$ 594,31 ; R$ 5,94 ;0,83%
MGIPPB2;MGI;PPB2;MG;SP; R$ 201,80 ; R$ 237,11 ; R$ 279,60 ; R$ 357,12 ; R$ 493,08 ; R$ 730,43 ; R$ 7,31 ;0,83%
MGIPRI;MGI;PRI;MG;PR; R$ 178,24 ; R$ 209,43 ; R$ 246,96 ; R$ 315,44 ; R$ 435,52 ; R$ 645,14 ; R$ 6,45 ;0,83%
