UF;CIDADE;BUSCA;REF;CLASSIFICACAO_CAP_IN;CAP_INT;REGIÇO;JAMEF;FILIAL_ATENDIMENTO
RS;DOUTOR MAURICIO CARDOSO;RSDOUTOR MAURICIO CARDOSO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
SC;DOUTOR PEDRINHO;SCDOUTOR PEDRINHO;SCI1;Interior-1;I1;Sul;BNU;Blumenau - SC
RS;DOUTOR RICARDO;RSDOUTOR RICARDO;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
RN;DOUTOR SEVERIANO;RNDOUTOR SEVERIANO;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
PR;DOUTOR ULYSSES;PRDOUTOR ULYSSES;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
GO;DOVERLANDIA;GODOVERLANDIA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
SP;DRACENA;SPDRACENA;SPI2;Interior-2;I2;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
SP;DUARTINA;SPDUARTINA;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
RJ;DUAS BARRAS;RJDUAS BARRAS;RJI2;Interior-2;I2;Sudeste;RIO;Rio de Janeiro - RJ
PB;DUAS ESTRADAS;PBDUAS ESTRADAS;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
TO;DUERE;TODUERE;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
SP;DUMONT;SPDUMONT;SPI1;Interior-1;I1;Sudeste;RAO;RibeirÆo Preto - SP
MA;DUQUE BACELAR;MADUQUE BACELAR;MAI1;Interior-1;I1;Nordeste;SLZ;SÆo Luis - MA
RJ;DUQUE DE CAXIAS;RJDUQUE DE CAXIAS;RJC;Capital;C;Sudeste;RIO;Rio de Janeiro - RJ
MG;DURANDE;MGDURANDE;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SP;ECHAPORA;SPECHAPORA;SPI2;Interior-2;I2;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
ES;ECOPORANGA;ESECOPORANGA;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
GO;EDEALINA;GOEDEALINA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
GO;EDEIA;GOEDEIA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
MS;ELDORADO;MSELDORADO;MSI2;Interior-2;I2;Centro Oeste;CGR;Brasilia - DF
SP;ELDORADO;SPELDORADO;SPI2;Interior-2;I2;Sudeste;SAO;SÆo Paulo - SP
