UF;CIDADE;BUSCA;REF;CLASSIFICACAO_CAP_IN;CAP_INT;REGIÇO;JAMEF;FILIAL_ATENDIMENTO
BA;LENCOIS;BALENCOIS;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
SP;LENCOIS PAULISTA;SPLENCOIS PAULISTA;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
SC;LEOBERTO LEAL;SCLEOBERTO LEAL;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
MG;LEOPOLDINA;MGLEOPOLDINA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
GO;LEOPOLDO DE BULHOES;GOLEOPOLDO DE BULHOES;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
PR;LEOPOLIS;PRLEOPOLIS;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
RS;LIBERATO SALZANO;RSLIBERATO SALZANO;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
MG;LIBERDADE;MGLIBERDADE;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
BA;LICINIO DE ALMEIDA;BALICINIO DE ALMEIDA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
PR;LIDIANOPOLIS;PRLIDIANOPOLIS;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
MA;LIMA CAMPOS;MALIMA CAMPOS;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
MG;LIMA DUARTE;MGLIMA DUARTE;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
SP;LIMEIRA;SPLIMEIRA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;LIMEIRA DO OESTE;MGLIMEIRA DO OESTE;MGI2;Interior-2;I2;Sudeste;UDI;Uberlƒndia - MG
PE;LIMOEIRO;PELIMOEIRO;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
AL;LIMOEIRO DE ANADIA;ALLIMOEIRO DE ANADIA;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
PA;LIMOEIRO DO AJURU;PALIMOEIRO DO AJURU;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
CE;LIMOEIRO DO NORTE;CELIMOEIRO DO NORTE;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
PR;LINDOESTE;PRLINDOESTE;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
SP;LINDOIA;SPLINDOIA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SC;LINDOIA DO SUL;SCLINDOIA DO SUL;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
RS;LINDOLFO COLLOR;RSLINDOLFO COLLOR;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
RS;LINHA NOVA;RSLINHA NOVA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
ES;LINHARES;ESLINHARES;ESI1;Interior-1;I1;Sudeste;VIX;Espirito Santo - ES
SP;LINS;SPLINS;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
PB;LIVRAMENTO;PBLIVRAMENTO;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
BA;LIVRAMENTO DE NOSSA SENHORA;BALIVRAMENTO DE NOSSA SENHORA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
TO;LIZARDA;TOLIZARDA;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
PR;LOANDA;PRLOANDA;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
PR;LOBATO;PRLOBATO;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
PB;LOGRADOURO;PBLOGRADOURO;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PR;LONDRINA;PRLONDRINA;PRI1;Interior-1;I1;Sul;LDB;Londrina - PR
MG;LONTRA;MGLONTRA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SC;LONTRAS;SCLONTRAS;SCI2;Interior-2;I2;Sul;BNU;Blumenau - SC
SP;LORENA;SPLORENA;SPI2;Interior-2;I2;Sudeste;CPQ;Campinas - SP
MA;LORETO;MALORETO;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
SP;LOURDES;SPLOURDES;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SP;LOUVEIRA;SPLOUVEIRA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MT;LUCAS DO RIO VERDE;MTLUCAS DO RIO VERDE;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
SP;LUCELIA;SPLUCELIA;SPI2;Interior-2;I2;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
PB;LUCENA;PBLUCENA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
SP;LUCIANOPOLIS;SPLUCIANOPOLIS;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MT;LUCIARA;MTLUCIARA;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
RN;LUCRECIA;RNLUCRECIA;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
SP;LUIS ANTONIO;SPLUIS ANTONIO;SPI1;Interior-1;I1;Sudeste;RAO;RibeirÆo Preto - SP
PI;LUIS CORREIA;PILUIS CORREIA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
MA;LUIS DOMINGUES;MALUIS DOMINGUES;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
BA;LUIS EDUARDO MAGALHAES;BALUIS EDUARDO MAGALHAES;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
RN;LUIS GOMES;RNLUIS GOMES;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
MG;LUISBURGO;MGLUISBURGO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MG;LUISLANDIA;MGLUISLANDIA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SC;LUIZ ALVES;SCLUIZ ALVES;SCI1;Interior-1;I1;Sul;BNU;Blumenau - SC
PR;LUIZIANA;PRLUIZIANA;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
SP;LUIZIANIA;SPLUIZIANIA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;LUMINARIAS;MGLUMINARIAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PR;LUNARDELLI;PRLUNARDELLI;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
SP;LUPERCIO;SPLUPERCIO;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
PR;LUPIONOPOLIS;PRLUPIONOPOLIS;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
SP;LUTECIA;SPLUTECIA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;LUZ;MGLUZ;MGI2;Interior-2;I2;Sudeste;DIV;Divin¢polis - MG
SC;LUZERNA;SCLUZERNA;SCI1;Interior-1;I1;Sul;FLN;Florian¢polis - SC
GO;LUZIANIA;GOLUZIANIA;GOI2;Interior-2;I2;Centro Oeste;BSB;Brasilia - DF
PI;LUZILANDIA;PILUZILANDIA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
TO;LUZINOPOLIS;TOLUZINOPOLIS;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
RJ;MACAE;RJMACAE;RJI1;Interior-1;I1;Sudeste;RIO;Rio de Janeiro - RJ
RN;MACAIBA;RNMACAIBA;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
BA;MACAJUBA;BAMACAJUBA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
RS;MACAMBARA;RSMACAMBARA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
SE;MACAMBIRA;SEMACAMBIRA;SEI2;Interior-2;I2;Nordeste;AJU;Aracaju - SE
PE;MACAPARANA;PEMACAPARANA;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
BA;MACARANI;BAMACARANI;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
SP;MACATUBA;SPMACATUBA;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
RN;MACAU;RNMACAU;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
SP;MACAUBAL;SPMACAUBAL;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
BA;MACAUBAS;BAMACAUBAS;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
SP;MACEDONIA;SPMACEDONIA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
AL;MACEIO;ALMACEIO;ALC;Capital;C;Nordeste;MCZ;Maceio - AL
MG;MACHACALIS;MGMACHACALIS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;MACHADINHO;RSMACHADINHO;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
MG;MACHADO;MGMACHADO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PE;MACHADOS;PEMACHADOS;PEI2;Interior-2;I2;Nordeste;REC;Recife - PE
SC;MACIEIRA;SCMACIEIRA;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
RJ;MACUCO;RJMACUCO;RJI2;Interior-2;I2;Sudeste;RIO;Rio de Janeiro - RJ
BA;MACURURE;BAMACURURE;BAI2;Interior-2;I2;Nordeste;SSA;Salvador - BA
CE;MADALENA;CEMADALENA;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
PI;MADEIRO;PIMADEIRO;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
BA;MADRE DE DEUS;BAMADRE DE DEUS;BAC;Capital;C;Nordeste;SSA;Salvador - BA
MG;MADRE DE DEUS DE MINAS;MGMADRE DE DEUS DE MINAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PB;MAE D'AGUA;PBMAE D'AGUA;PBI2;Interior-2;I2;Nordeste;JPA;JoÆo Pessoa - PB
PA;MAE DO RIO;PAMAE DO RIO;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
BA;MAETINGA;BAMAETINGA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
SC;MAFRA;SCMAFRA;SCI1;Interior-1;I1;Sul;JOI;Joinville - SC
PA;MAGALHAES BARATA;PAMAGALHAES BARATA;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
MA;MAGALHAES DE ALMEIDA;MAMAGALHAES DE ALMEIDA;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
SP;MAGDA;SPMAGDA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
RJ;MAGE;RJMAGE;RJC;Capital;C;Sudeste;RIO;Rio de Janeiro - RJ
BA;MAIQUINIQUE;BAMAIQUINIQUE;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
BA;MAIRI;BAMAIRI;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
SP;MAIRINQUE;SPMAIRINQUE;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
SP;MAIRIPORA;SPMAIRIPORA;SPC;Capital;C;Sudeste;SAO;SÆo Paulo - SP
GO;MAIRIPOTABA;GOMAIRIPOTABA;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
SC;MAJOR GERCINO;SCMAJOR GERCINO;SCC;Capital;C;Sul;FLN;Florian¢polis - SC
AL;MAJOR ISIDORO;ALMAJOR ISIDORO;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
RN;MAJOR SALES;RNMAJOR SALES;RNI1;Interior-1;I1;Nordeste;NAT;Natal - RN
SC;MAJOR VIEIRA;SCMAJOR VIEIRA;SCI2;Interior-2;I2;Sul;JOI;Joinville - SC
MG;MALACACHETA;MGMALACACHETA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
BA;MALHADA;BAMALHADA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
BA;MALHADA DE PEDRAS;BAMALHADA DE PEDRAS;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
SE;MALHADA DOS BOIS;SEMALHADA DOS BOIS;SEI2;Interior-2;I2;Nordeste;AJU;Aracaju - SE
SE;MALHADOR;SEMALHADOR;SEI1;Interior-1;I1;Nordeste;AJU;Aracaju - SE
PR;MALLET;PRMALLET;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
PB;MALTA;PBMALTA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PB;MAMANGUAPE;PBMAMANGUAPE;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
GO;MAMBAI;GOMAMBAI;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
PR;MAMBORE;PRMAMBORE;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
MG;MAMONAS;MGMAMONAS;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;MAMPITUBA;RSMAMPITUBA;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
PB;MANAIRA;PBMANAIRA;PBI2;Interior-2;I2;Nordeste;JPA;JoÆo Pessoa - PB
PE;MANARI;PEMANARI;PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
PR;MANDAGUACU;PRMANDAGUACU;PRI1;Interior-1;I1;Sul;MGF;Maringa - PR
PR;MANDAGUARI;PRMANDAGUARI;PRI1;Interior-1;I1;Sul;MGF;Maringa - PR
PR;MANDIRITUBA;PRMANDIRITUBA;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
SP;MANDURI;SPMANDURI;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
PR;MANFRINOPOLIS;PRMANFRINOPOLIS;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
MG;MANGA;MGMANGA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PR;MANGUEIRINHA;PRMANGUEIRINHA;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
MG;MANHUACU;MGMANHUACU;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MG;MANHUMIRIM;MGMANHUMIRIM;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PI;MANOEL EMIDIO;PIMANOEL EMIDIO;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
PR;MANOEL RIBAS;PRMANOEL RIBAS;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
RS;MANOEL VIANA;RSMANOEL VIANA;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
BA;MANOEL VITORINO;BAMANOEL VITORINO;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
BA;MANSIDAO;BAMANSIDAO;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
MG;MANTENA;MGMANTENA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
ES;MANTENOPOLIS;ESMANTENOPOLIS;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
RS;MAQUINE;RSMAQUINE;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
MG;MAR DE ESPANHA;MGMAR DE ESPANHA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
AL;MAR VERMELHO;ALMAR VERMELHO;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
GO;MARA ROSA;GOMARA ROSA;GOI2;Interior-2;I2;Centro Oeste;GYN;Goiania - GO
PA;MARABA;PAMARABA;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
SP;MARABA PAULISTA;SPMARABA PAULISTA;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MA;MARACACUME;MAMARACACUME;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
SP;MARACAI;SPMARACAI;SPI2;Interior-2;I2;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
SC;MARACAJA;SCMARACAJA;SCI1;Interior-1;I1;Sul;FLN;Florian¢polis - SC
MS;MARACAJU;MSMARACAJU;MSI2;Interior-2;I2;Centro Oeste;CGR;Brasilia - DF
PA;MARACANA;PAMARACANA;PAI2;Interior-2;I2;Norte;BEL;Bel‚m - PA
CE;MARACANAU;CEMARACANAU;CEC;Capital;C;Nordeste;FOR;Fortaleza - CE
BA;MARACAS;BAMARACAS;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
AL;MARAGOGI;ALMARAGOGI;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
BA;MARAGOGIPE;BAMARAGOGIPE;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
PE;MARAIAL;PEMARAIAL;PEI1;Interior-1;I1;Nordeste;REC;Recife - PE
MA;MARAJA DO SENA;MAMARAJA DO SENA;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
CE;MARANGUAPE;CEMARANGUAPE;CEC;Capital;C;Nordeste;FOR;Fortaleza - CE
MA;MARANHAOZINHO;MAMARANHAOZINHO;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
PA;MARAPANIM;PAMARAPANIM;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
SP;MARAPOAMA;SPMARAPOAMA;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
RS;MARATA;RSMARATA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
ES;MARATAIZES;ESMARATAIZES;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
BA;MARAU;BAMARAU;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
RS;MARAU;RSMARAU;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
AL;MARAVILHA;ALMARAVILHA;ALI1;Interior-1;I1;Nordeste;MCZ;Maceio - AL
SC;MARAVILHA;SCMARAVILHA;SCI2;Interior-2;I2;Sul;FLN;Florian¢polis - SC
MG;MARAVILHAS;MGMARAVILHAS;MGI1;Interior-1;I1;Sudeste;DIV;Divin¢polis - MG
PB;MARCACAO;PBMARCACAO;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
MT;MARCELANDIA;MTMARCELANDIA;MTI2;Interior-2;I2;Centro Oeste;CGB;Brasilia - DF
RS;MARCELINO RAMOS;RSMARCELINO RAMOS;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
RN;MARCELINO VIEIRA;RNMARCELINO VIEIRA;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
BA;MARCIONILIO SOUZA;BAMARCIONILIO SOUZA;BAI1;Interior-1;I1;Nordeste;FES;Feira de Santana - BA
CE;MARCO;CEMARCO;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
PI;MARCOLANDIA;PIMARCOLANDIA;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
PI;MARCOS PARENTE;PIMARCOS PARENTE;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
PR;MARECHAL CANDIDO RONDON;PRMARECHAL CANDIDO RONDON;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
AL;MARECHAL DEODORO;ALMARECHAL DEODORO;ALC;Capital;C;Nordeste;MCZ;Maceio - AL
ES;MARECHAL FLORIANO;ESMARECHAL FLORIANO;ESI1;Interior-1;I1;Sudeste;VIX;Espirito Santo - ES
SC;MAREMA;SCMAREMA;SCI1;Interior-1;I1;Sul;ITJ;Itajai - SC
PB;MARI;PBMARI;PBI2;Interior-2;I2;Nordeste;JPA;JoÆo Pessoa - PB
MG;MARIA DA FE;MGMARIA DA FE;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PR;MARIA HELENA;PRMARIA HELENA;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
PR;MARIALVA;PRMARIALVA;PRI1;Interior-1;I1;Sul;MGF;Maringa - PR
MG;MARIANA;MGMARIANA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;MARIANA PIMENTEL;RSMARIANA PIMENTEL;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
RS;MARIANO MORO;RSMARIANO MORO;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
TO;MARIANOPOLIS DO TOCANTINS;TOMARIANOPOLIS DO TOCANTINS;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
SP;MARIAPOLIS;SPMARIAPOLIS;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
AL;MARIBONDO;ALMARIBONDO;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
RJ;MARICA;RJMARICA;RJI1;Interior-1;I1;Sudeste;RIO;Rio de Janeiro - RJ
MG;MARILAC;MGMARILAC;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
ES;MARILANDIA;ESMARILANDIA;ESI2;Interior-2;I2;Sudeste;VIX;Espirito Santo - ES
PR;MARILANDIA DO SUL;PRMARILANDIA DO SUL;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
PR;MARILENA;PRMARILENA;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
SP;MARILIA;SPMARILIA;SPI1;Interior-1;I1;Sudeste;BAU;Bauru - SP
PR;MARILUZ;PRMARILUZ;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
PR;MARINGA;PRMARINGA;PRI1;Interior-1;I1;Sul;MGF;Maringa - PR
SP;MARINOPOLIS;SPMARINOPOLIS;SPI1;Interior-1;I1;Sudeste;CPQ;Campinas - SP
MG;MARIO CAMPOS;MGMARIO CAMPOS;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
PR;MARIOPOLIS;PRMARIOPOLIS;PRI1;Interior-1;I1;Sul;CWB;Curitiba - PR
PR;MARIPA;PRMARIPA;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
MG;MARIPA DE MINAS;MGMARIPA DE MINAS;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
PA;MARITUBA;PAMARITUBA;PAC;Capital;C;Norte;BEL;Bel‚m - PA
PA;MARITUBA - FICTICIO;PAMARITUBA - FICTICIO;PAI1;Interior-1;I1;Norte;BSB;Brasilia - DF
PB;MARIZOPOLIS;PBMARIZOPOLIS;PBI2;Interior-2;I2;Nordeste;JPA;JoÆo Pessoa - PB
MG;MARLIERIA;MGMARLIERIA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
PR;MARMELEIRO;PRMARMELEIRO;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
MG;MARMELOPOLIS;MGMARMELOPOLIS;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
RS;MARQUES DE SOUZA;RSMARQUES DE SOUZA;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
PR;MARQUINHO;PRMARQUINHO;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
MG;MARTINHO CAMPOS;MGMARTINHO CAMPOS;MGI2;Interior-2;I2;Sudeste;DIV;Divin¢polis - MG
CE;MARTINOPOLE;CEMARTINOPOLE;CEI1;Interior-1;I1;Nordeste;FOR;Fortaleza - CE
SP;MARTINOPOLIS;SPMARTINOPOLIS;SPI1;Interior-1;I1;Sudeste;SJP;SÆo Jos‚ do Rio Preto - SP
RN;MARTINS;RNMARTINS;RNI2;Interior-2;I2;Nordeste;NAT;Natal - RN
MG;MARTINS SOARES;MGMARTINS SOARES;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SE;MARUIM;SEMARUIM;SEI1;Interior-1;I1;Nordeste;AJU;Aracaju - SE
PR;MARUMBI;PRMARUMBI;PRI1;Interior-1;I1;Sul;LDB;Londrina - PR
GO;MARZAGAO;GOMARZAGAO;GOI1;Interior-1;I1;Centro Oeste;GYN;Goiania - GO
BA;MASCOTE;BAMASCOTE;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
CE;MASSAPE;CEMASSAPE;CEI2;Interior-2;I2;Nordeste;FOR;Fortaleza - CE
PI;MASSAPE DO PIAUI;PIMASSAPE DO PIAUI;PII1;Interior-1;I1;Nordeste;THE;Teresina - PI
PB;MASSARANDUBA;PBMASSARANDUBA;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
SC;MASSARANDUBA;SCMASSARANDUBA;SCI1;Interior-1;I1;Sul;JOI;Joinville - SC
RS;MATA;RSMATA;RSI2;Interior-2;I2;Sul;POA;Porto Alegre - RS
BA;MATA DE SAO JOAO;BAMATA DE SAO JOAO;BAC;Capital;C;Nordeste;SSA;Salvador - BA
AL;MATA GRANDE;ALMATA GRANDE;ALI2;Interior-2;I2;Nordeste;MCZ;Maceio - AL
MA;MATA ROMA;MAMATA ROMA;MAI1;Interior-1;I1;Nordeste;SLZ;SÆo Luis - MA
MG;MATA VERDE;MGMATA VERDE;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
SP;MATAO;SPMATAO;SPI1;Interior-1;I1;Sudeste;RAO;RibeirÆo Preto - SP
PB;MATARACA;PBMATARACA;PBI2;Interior-2;I2;Nordeste;JPA;JoÆo Pessoa - PB
TO;MATEIROS;TOMATEIROS;TOI1;Interior-1;I1;Norte;BSB;Brasilia - DF
PR;MATELANDIA;PRMATELANDIA;PRI2;Interior-2;I2;Sul;LDB;Londrina - PR
MG;MATERLANDIA;MGMATERLANDIA;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MG;MATEUS LEME;MGMATEUS LEME;MGC;Capital;C;Sudeste;BHZ;Belo Horizonte - MG
MG;MATHIAS LOBATO;MGMATHIAS LOBATO;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MG;MATIAS BARBOSA;MGMATIAS BARBOSA;MGI1;Interior-1;I1;Sudeste;BHZ;Belo Horizonte - MG
MG;MATIAS CARDOSO;MGMATIAS CARDOSO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
PI;MATIAS OLIMPIO;PIMATIAS OLIMPIO;PII2;Interior-2;I2;Nordeste;THE;Teresina - PI
BA;MATINA;BAMATINA;BAI2;Interior-2;I2;Nordeste;FES;Feira de Santana - BA
MA;MATINHA;MAMATINHA;MAI2;Interior-2;I2;Nordeste;SLZ;SÆo Luis - MA
PB;MATINHAS;PBMATINHAS;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
PR;MATINHOS;PRMATINHOS;PRI2;Interior-2;I2;Sul;CWB;Curitiba - PR
MG;MATIPO;MGMATIPO;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
RS;MATO CASTELHANO;RSMATO CASTELHANO;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
PB;MATO GROSSO;PBMATO GROSSO;PBI1;Interior-1;I1;Nordeste;JPA;JoÆo Pessoa - PB
RS;MATO LEITAO;RSMATO LEITAO;RSI1;Interior-1;I1;Sul;POA;Porto Alegre - RS
RS;MATO QUEIMADO;RSMATO QUEIMADO;RSI1;Interior-1;I1;Sul;CXJ;Caxias do Sul - RS
PR;MATO RICO;PRMATO RICO;PRI2;Interior-2;I2;Sul;MGF;Maringa - PR
MG;MATO VERDE;MGMATO VERDE;MGI2;Interior-2;I2;Sudeste;BHZ;Belo Horizonte - MG
MA;MATOES;MAMATOES;MAI1;Interior-1;I1;Nordeste;SLZ;SÆo Luis - MA
